epoch,value
1709537590.381,24981504.000000
1709537591.381,25104384.000000
1709537592.381,25116672.000000
1709537593.381,25145344.000000
1709537594.381,25145344.000000
1709537595.381,25145344.000000
1709537596.381,25145344.000000
1709537597.381,25145344.000000
1709537598.381,25149440.000000
1709537599.381,25149440.000000
1709537600.381,25149440.000000
1709537601.381,25149440.000000
1709537602.381,24924160.000000
1709537603.381,24924160.000000
1709537604.381,24924160.000000
1709537605.381,24924160.000000
1709537606.381,24924160.000000
1709537607.381,24924160.000000
1709537608.381,24924160.000000
1709537609.381,24915968.000000
1709537610.381,24915968.000000
1709537611.381,24883200.000000
1709537612.381,24883200.000000
1709537613.381,24883200.000000
1709537614.381,24883200.000000
1709537615.381,24883200.000000
1709537616.381,24883200.000000
1709537617.381,24883200.000000
1709537618.381,24883200.000000
1709537619.381,24883200.000000
1709537620.381,24883200.000000
1709537621.381,24883200.000000
1709537622.381,24752128.000000
1709537623.381,23511040.000000
1709537624.381,23523328.000000
1709537625.381,23515136.000000
1709537626.381,23539712.000000
1709537627.381,23576576.000000
1709537628.381,23588864.000000
1709537629.381,23597056.000000
1709537630.381,23597056.000000
1709537631.381,23601152.000000
1709537632.381,23576576.000000
1709537633.381,23543808.000000
1709537634.381,23543808.000000
1709537635.381,23547904.000000
1709537636.381,23556096.000000
1709537637.381,23564288.000000
1709537638.381,23576576.000000
1709537639.381,23560192.000000
1709537640.381,23576576.000000
1709537641.381,23560192.000000
1709537642.381,23547904.000000
1709537643.381,23564288.000000
1709537644.381,23535616.000000
1709537645.381,23535616.000000
1709537646.381,23543808.000000
1709537647.381,23543808.000000
1709537648.381,23547904.000000
1709537649.381,23515136.000000
1709537650.381,23515136.000000
1709537651.381,23515136.000000
1709537652.381,23523328.000000
1709537653.381,23543808.000000
1709537654.382,23580672.000000
1709537655.381,23556096.000000
1709537656.381,23560192.000000
1709537657.381,23572480.000000
1709537658.381,23539712.000000
1709537659.381,23543808.000000
1709537660.381,23543808.000000
1709537661.381,23543808.000000
1709537662.381,23543808.000000
1709537663.381,23560192.000000
1709537664.381,23568384.000000
1709537665.381,23576576.000000
1709537666.381,23552000.000000
1709537667.381,23580672.000000
1709537668.381,23568384.000000
1709537669.381,23568384.000000
1709537670.381,23576576.000000
1709537671.381,23584768.000000
1709537672.381,23539712.000000
1709537673.381,23539712.000000
1709537674.381,23539712.000000
1709537675.381,23539712.000000
1709537676.381,23539712.000000
1709537677.381,23539712.000000
1709537678.381,23539712.000000
1709537679.381,23539712.000000
1709537680.381,23539712.000000
1709537681.381,23539712.000000
1709537682.381,23539712.000000
1709537683.381,23539712.000000
1709537684.381,23539712.000000
1709537685.381,23539712.000000
1709537686.381,23539712.000000
1709537687.381,23539712.000000
1709537688.381,23539712.000000
1709537689.381,23539712.000000
1709537690.381,23539712.000000
1709537691.381,23539712.000000
1709537692.381,23539712.000000
1709537693.381,23539712.000000
1709537694.381,23539712.000000
1709537695.381,23539712.000000
1709537696.381,23539712.000000
1709537697.381,23539712.000000
1709537698.381,23539712.000000
1709537699.381,23539712.000000
1709537700.381,23539712.000000
1709537701.381,23539712.000000
1709537702.381,23539712.000000
1709537703.381,23539712.000000
1709537704.381,23539712.000000
1709537705.381,23539712.000000
1709537706.381,23539712.000000
1709537707.381,23539712.000000
1709537708.381,23539712.000000
1709537709.381,23539712.000000
1709537710.381,23539712.000000
1709537711.381,23539712.000000
1709537712.381,23539712.000000
1709537713.381,23539712.000000
1709537714.381,23539712.000000
1709537715.381,23539712.000000
1709537716.381,23539712.000000
1709537717.381,23539712.000000
1709537718.381,23539712.000000
1709537719.381,23539712.000000
1709537720.381,23539712.000000
1709537721.381,23539712.000000
1709537722.381,23539712.000000
1709537723.381,23539712.000000
1709537724.381,23539712.000000
1709537725.381,23539712.000000
1709537726.381,23539712.000000
1709537727.381,23539712.000000
1709537728.381,23539712.000000
1709537729.381,23547904.000000
1709537730.381,23547904.000000
