epoch,value
1709537590.381,60645376.000000
1709537591.381,60731392.000000
1709537592.381,60100608.000000
1709537593.381,59797504.000000
1709537594.381,59797504.000000
1709537595.381,59797504.000000
1709537596.381,59830272.000000
1709537597.381,59830272.000000
1709537598.381,59826176.000000
1709537599.381,60342272.000000
1709537600.381,60321792.000000
1709537601.381,60321792.000000
1709537602.381,60350464.000000
1709537603.381,60350464.000000
1709537604.381,60350464.000000
1709537605.381,60350464.000000
1709537606.381,60350464.000000
1709537607.381,60350464.000000
1709537608.381,60350464.000000
1709537609.381,60350464.000000
1709537610.381,60350464.000000
1709537611.381,60350464.000000
1709537612.381,60383232.000000
1709537613.381,60383232.000000
1709537614.381,60383232.000000
1709537615.381,60383232.000000
1709537616.381,60383232.000000
1709537617.381,60383232.000000
1709537618.381,60383232.000000
1709537619.381,60383232.000000
1709537620.381,60383232.000000
1709537621.381,60383232.000000
1709537622.381,60903424.000000
1709537623.381,62013440.000000
1709537624.381,62787584.000000
1709537625.381,62926848.000000
1709537626.381,62865408.000000
1709537627.381,62763008.000000
1709537628.381,62525440.000000
1709537629.381,62681088.000000
1709537630.381,62615552.000000
1709537631.381,62644224.000000
1709537632.381,62414848.000000
1709537633.381,62312448.000000
1709537634.381,62345216.000000
1709537635.381,62472192.000000
1709537636.381,62332928.000000
1709537637.381,62390272.000000
1709537638.381,62410752.000000
1709537639.381,62492672.000000
1709537640.381,62377984.000000
1709537641.381,62394368.000000
1709537642.381,62406656.000000
1709537643.381,62488576.000000
1709537644.381,62873600.000000
1709537645.381,62840832.000000
1709537646.381,62636032.000000
1709537647.381,62636032.000000
1709537648.381,62730240.000000
1709537649.381,62763008.000000
1709537650.381,62763008.000000
1709537651.381,62697472.000000
1709537652.381,62689280.000000
1709537653.381,62832640.000000
1709537654.382,62730240.000000
1709537655.381,62590976.000000
1709537656.381,62619648.000000
1709537657.381,62640128.000000
1709537658.381,62738432.000000
1709537659.381,62701568.000000
1709537660.381,62734336.000000
1709537661.381,62767104.000000
1709537662.381,62832640.000000
1709537663.381,62717952.000000
1709537664.381,62709760.000000
1709537665.381,62668800.000000
1709537666.381,62627840.000000
1709537667.381,62533632.000000
1709537668.381,62611456.000000
1709537669.381,62611456.000000
1709537670.381,62603264.000000
1709537671.381,62787584.000000
1709537672.381,62865408.000000
1709537673.381,62865408.000000
1709537674.381,62865408.000000
1709537675.381,62865408.000000
1709537676.381,62865408.000000
1709537677.381,62865408.000000
1709537678.381,62865408.000000
1709537679.381,62865408.000000
1709537680.381,62865408.000000
1709537681.381,62865408.000000
1709537682.381,62865408.000000
1709537683.381,62865408.000000
1709537684.381,62865408.000000
1709537685.381,62865408.000000
1709537686.381,62865408.000000
1709537687.381,62861312.000000
1709537688.381,62861312.000000
1709537689.381,62861312.000000
1709537690.381,62861312.000000
1709537691.381,62861312.000000
1709537692.381,62861312.000000
1709537693.381,62861312.000000
1709537694.381,62861312.000000
1709537695.381,62861312.000000
1709537696.381,62861312.000000
1709537697.381,62861312.000000
1709537698.381,62861312.000000
1709537699.381,62861312.000000
1709537700.381,62861312.000000
1709537701.381,62861312.000000
1709537702.381,62861312.000000
1709537703.381,62861312.000000
1709537704.381,62861312.000000
1709537705.381,62861312.000000
1709537706.381,62861312.000000
1709537707.381,62861312.000000
1709537708.381,62861312.000000
1709537709.381,62861312.000000
1709537710.381,62861312.000000
1709537711.381,62861312.000000
1709537712.381,62861312.000000
1709537713.381,62861312.000000
1709537714.381,62861312.000000
1709537715.381,62857216.000000
1709537716.381,62857216.000000
1709537717.381,62857216.000000
1709537718.381,62857216.000000
1709537719.381,62857216.000000
1709537720.381,62857216.000000
1709537721.381,62857216.000000
1709537722.381,62844928.000000
1709537723.381,62840832.000000
1709537724.381,62840832.000000
1709537725.381,62808064.000000
1709537726.381,62808064.000000
1709537727.381,62803968.000000
1709537728.381,62803968.000000
1709537729.381,62803968.000000
1709537730.381,62803968.000000
