interest,rtt(ms)
/scenario1-3-5/traffic22,19.287217
/scenario1-3-5/traffic43,13.836906
/scenario1-3-5/traffic77,11.187834
/scenario1-3-5/traffic55,12.583069
/scenario1-3-5/traffic14,14.826422
/scenario1-3-5/traffic8,12.506332
/scenario1-3-5/traffic81,12.340347
/scenario1-3-5/traffic22,4.264503
/scenario1-3-5/traffic1,30.021079
/scenario1-3-5/traffic8,15.104322
/scenario1-3-5/traffic5,19.887795
/scenario1-3-5/traffic14,6.955616
/scenario1-3-5/traffic19,14.102544
/scenario1-3-5/traffic7,16.884817
/scenario1-3-5/traffic17,16.119019
/scenario1-3-5/traffic24,11.643576
/scenario1-3-5/traffic12,14.498858
/scenario1-3-5/traffic98,14.805148
/scenario1-3-5/traffic2,12.963012
/scenario1-3-5/traffic1,6.292034
/scenario1-3-5/traffic15,13.762097
/scenario1-3-5/traffic81,6.123222
/scenario1-3-5/traffic66,14.473770
/scenario1-3-5/traffic64,12.245417
/scenario1-3-5/traffic36,12.985684
/scenario1-3-5/traffic25,13.091396
/scenario1-3-5/traffic32,13.396454
/scenario1-3-5/traffic26,13.004438
/scenario1-3-5/traffic14,4.476403
/scenario1-3-5/traffic31,13.086231
/scenario1-3-5/traffic100,12.761821
/scenario1-3-5/traffic57,11.547109
/scenario1-3-5/traffic8,4.381329
/scenario1-3-5/traffic8,0.461080
/scenario1-3-5/traffic44,11.068834
/scenario1-3-5/traffic12,4.300065
/scenario1-3-5/traffic6,14.749242
/scenario1-3-5/traffic29,13.103293
/scenario1-3-5/traffic64,5.443663
/scenario1-3-5/traffic1,6.450115
/scenario1-3-5/traffic84,14.007910
/scenario1-3-5/traffic19,4.856659
/scenario1-3-5/traffic16,12.755079
/scenario1-3-5/traffic22,5.322135
/scenario1-3-5/traffic5,5.365789
/scenario1-3-5/traffic12,5.303420
/scenario1-3-5/traffic16,4.606898
/scenario1-3-5/traffic19,6.053866
/scenario1-3-5/traffic20,22.882977
/scenario1-3-5/traffic11,17.524747
/scenario1-3-5/traffic54,16.481992
/scenario1-3-5/traffic6,6.669059
/scenario1-3-5/traffic59,12.858250
/scenario1-3-5/traffic16,5.323534
/scenario1-3-5/traffic3,16.308850
/scenario1-3-5/traffic3,5.062207
/scenario1-3-5/traffic65,16.896421
/scenario1-3-5/traffic13,12.009943
/scenario1-3-5/traffic21,16.360141
/scenario1-3-5/traffic42,13.450146
/scenario1-3-5/traffic16,4.811623
/scenario1-3-5/traffic53,13.873838
/scenario1-3-5/traffic42,11.000246
/scenario1-3-5/traffic42,4.424934
/scenario1-3-5/traffic12,5.010361
/scenario1-3-5/traffic19,4.538496
/scenario1-3-5/traffic1,9.144928
/scenario1-3-5/traffic6,4.830211
/scenario1-3-5/traffic24,4.934750
/scenario1-3-5/traffic80,13.835071
/scenario1-3-5/traffic31,4.116677
/scenario1-3-5/traffic11,5.265772
/scenario1-3-5/traffic25,5.811562
/scenario1-3-5/traffic48,15.434635
/scenario1-3-5/traffic7,4.181311
/scenario1-3-5/traffic30,11.448976
/scenario1-3-5/traffic92,12.592534
/scenario1-3-5/traffic11,7.595862
/scenario1-3-5/traffic31,9.432437
/scenario1-3-5/traffic1,3.989890
/scenario1-3-5/traffic26,4.807696
/scenario1-3-5/traffic38,11.194902
/scenario1-3-5/traffic92,4.834401
/scenario1-3-5/traffic66,4.937972
/scenario1-3-5/traffic70,17.679640
/scenario1-3-5/traffic44,4.661672
/scenario1-3-5/traffic58,14.910649
/scenario1-3-5/traffic36,7.184086
/scenario1-3-5/traffic6,4.433258
/scenario1-3-5/traffic53,8.933889
/scenario1-3-5/traffic1,4.950458
/scenario1-3-5/traffic95,12.633630
/scenario1-3-5/traffic14,4.286665
/scenario1-3-5/traffic69,16.176126
