epoch,value
1709558735.263,2.020202
1709558736.262,5.000000
1709558737.262,0.000000
1709558738.262,1.000000
1709558739.263,0.000000
1709558740.262,0.000000
1709558741.263,0.000000
1709558742.263,0.000000
1709558743.263,0.990099
1709558744.262,0.000000
1709558745.262,0.000000
1709558746.263,0.000000
1709558747.263,0.990099
1709558748.263,0.000000
1709558749.262,0.000000
1709558750.262,0.000000
1709558751.262,0.000000
1709558752.263,0.000000
1709558753.262,1.000000
1709558754.262,1.000000
1709558755.263,0.000000
1709558756.263,0.000000
1709558757.262,0.000000
1709558758.262,0.990099
1709558759.262,0.000000
1709558760.263,1.000000
1709558761.263,0.000000
1709558762.262,0.000000
1709558763.262,0.990099
1709558764.262,0.000000
1709558765.262,0.000000
1709558766.263,0.000000
1709558767.262,0.000000
1709558768.262,0.990099
1709558769.262,0.000000
1709558770.262,0.000000
1709558771.262,0.000000
1709558772.262,0.990099
1709558773.263,0.000000
1709558774.263,0.000000
1709558775.262,0.980392
1709558776.262,0.000000
1709558777.262,0.000000
1709558778.263,0.000000
1709558779.262,1.000000
1709558780.262,0.000000
1709558781.262,0.990099
1709558782.263,0.000000
1709558783.262,0.000000
1709558784.262,1.000000
1709558785.263,0.000000
1709558786.263,0.000000
1709558787.263,0.000000
1709558788.263,1.000000
1709558789.262,0.000000
1709558790.262,0.000000
1709558791.263,1.000000
1709558792.263,2.941176
1709558793.263,3.030303
1709558794.263,0.000000
1709558795.262,0.000000
1709558796.262,1.000000
1709558797.263,0.000000
1709558798.262,0.000000
1709558799.262,1.000000
1709558800.263,0.000000
1709558801.262,0.000000
1709558802.263,1.000000
1709558803.263,0.000000
1709558804.262,1.000000
1709558805.262,0.000000
1709558806.263,1.010101
1709558807.263,0.000000
1709558808.262,0.000000
1709558809.263,4.950495
1709558810.262,6.000000
1709558811.262,2.040816
1709558812.262,0.000000
1709558813.263,0.000000
1709558814.262,3.061224
1709558815.263,5.000000
1709558816.262,0.990099
1709558817.262,3.061224
1709558818.262,0.000000
1709558819.263,1.000000
1709558820.263,0.990099
1709558821.262,4.166667
1709558822.263,2.105263
1709558823.263,0.000000
1709558824.263,0.000000
1709558825.263,1.000000
1709558826.262,5.102041
1709558827.263,3.092784
1709558828.262,0.990099
1709558829.262,1.010101
1709558830.263,0.000000
1709558831.263,0.000000
1709558832.263,3.157895
1709558833.263,0.000000
1709558834.263,1.010101
1709558835.263,1.010101
1709558836.263,0.990099
1709558837.263,1.020408
1709558838.263,5.102041
1709558839.263,0.990099
1709558840.262,0.000000
1709558841.262,1.010101
1709558842.263,0.000000
1709558843.262,0.000000
1709558844.262,0.000000
1709558845.262,1.000000
1709558846.263,0.000000
1709558847.262,1.000000
1709558848.263,0.000000
1709558849.263,0.000000
1709558850.263,1.000000
1709558851.263,0.000000
1709558852.262,0.000000
1709558853.262,0.000000
1709558854.263,0.000000
1709558855.263,0.990099
1709558856.263,0.000000
1709558857.263,0.000000
1709558858.263,0.000000
1709558859.262,0.000000
1709558860.262,1.000000
1709558861.262,0.000000
1709558862.263,0.990099
