epoch,value
1709612928.258,1919746048.000000
1709612929.258,1918148608.000000
1709612930.258,1917505536.000000
1709612931.258,1917472768.000000
1709612932.258,1917472768.000000
1709612933.258,1917472768.000000
1709612934.258,1917472768.000000
1709612935.258,1917472768.000000
1709612936.258,1917407232.000000
1709612937.258,1917407232.000000
1709612938.258,1917407232.000000
1709612939.258,1917407232.000000
1709612940.258,1917407232.000000
1709612941.258,1917374464.000000
1709612942.258,1917390848.000000
1709612943.258,1917390848.000000
1709612944.258,1917390848.000000
1709612945.258,1917390848.000000
1709612946.258,1917358080.000000
1709612947.258,1917358080.000000
1709612948.258,1917358080.000000
1709612949.258,1917358080.000000
1709612950.258,1917358080.000000
1709612951.258,1917325312.000000
1709612952.258,1917325312.000000
1709612953.258,1917489152.000000
1709612954.258,1917489152.000000
1709612955.258,1917489152.000000
1709612956.258,1917489152.000000
1709612957.258,1917456384.000000
1709612958.258,1917456384.000000
1709612959.258,1917456384.000000
1709612960.258,1917456384.000000
1709612961.258,1917423616.000000
1709612962.258,1917423616.000000
1709612963.258,1917423616.000000
1709612964.258,1917423616.000000
1709612965.258,1917423616.000000
1709612966.258,1917423616.000000
1709612967.258,1917390848.000000
1709612968.258,1917390848.000000
1709612969.258,1917390848.000000
1709612970.258,1917390848.000000
1709612971.258,1917358080.000000
1709612972.258,1917358080.000000
1709612973.258,1917358080.000000
1709612974.258,1917325312.000000
1709612975.258,1917325312.000000
1709612976.258,1917227008.000000
1709612977.258,1917194240.000000
1709612978.258,1917423616.000000
1709612979.258,1917100032.000000
1709612980.258,1917067264.000000
1709612981.258,1917001728.000000
1709612982.258,1916968960.000000
1709612983.258,1916968960.000000
1709612984.258,1916936192.000000
1709612985.258,1916903424.000000
1709612986.258,1916837888.000000
1709612987.258,1916805120.000000
1709612988.258,1916805120.000000
1709612989.258,1916805120.000000
1709612990.258,1916772352.000000
1709612991.258,1917026304.000000
1709612992.258,1916997632.000000
1709612993.258,1917030400.000000
1709612994.258,1916964864.000000
1709612995.258,1916964864.000000
1709612996.258,1916964864.000000
1709612997.258,1916932096.000000
1709612998.258,1916964864.000000
1709612999.258,1916932096.000000
1709613000.258,1916899328.000000
1709613001.258,1916899328.000000
1709613002.258,1917030400.000000
1709613003.258,1917095936.000000
1709613004.258,1917128704.000000
1709613005.258,1917063168.000000
1709613006.258,1917227008.000000
1709613007.258,1917227008.000000
1709613008.258,1917227008.000000
1709613009.258,1917194240.000000
1709613010.258,1916968960.000000
1709613011.258,1916903424.000000
1709613012.258,1916903424.000000
1709613013.258,1916936192.000000
1709613014.258,1916903424.000000
1709613015.258,1916870656.000000
1709613016.258,1916903424.000000
1709613017.258,1916870656.000000
1709613018.258,1916903424.000000
1709613019.258,1916837888.000000
1709613020.258,1916837888.000000
1709613021.258,1916837888.000000
1709613022.258,1916837888.000000
1709613023.258,1916837888.000000
1709613024.258,1916837888.000000
1709613025.258,1916547072.000000
1709613026.258,1916547072.000000
1709613027.258,1916547072.000000
1709613028.258,1916514304.000000
1709613029.258,1916547072.000000
1709613030.258,1916514304.000000
1709613031.258,1916514304.000000
1709613032.258,1916448768.000000
1709613033.258,1916448768.000000
1709613034.258,1916416000.000000
1709613035.258,1916416000.000000
1709613036.258,1916317696.000000
1709613037.258,1916317696.000000
1709613038.258,1916317696.000000
1709613039.258,1916284928.000000
1709613040.258,1916284928.000000
1709613041.258,1916416000.000000
1709613042.258,1916416000.000000
1709613043.258,1916383232.000000
1709613044.258,1916350464.000000
1709613045.258,1916350464.000000
1709613046.258,1916284928.000000
1709613047.258,1916252160.000000
1709613048.258,1916219392.000000
1709613049.258,1916186624.000000
1709613050.258,1916153856.000000
1709613051.258,1916121088.000000
1709613052.258,1916055552.000000
1709613053.258,1916055552.000000
1709613054.258,1916022784.000000
1709613055.258,1916022784.000000
1709613056.258,1916022784.000000
1709613057.258,1915891712.000000
1709613058.258,1915891712.000000
1709613059.258,1915858944.000000
1709613060.258,1915826176.000000
1709613061.258,1915793408.000000
1709613062.258,1915793408.000000
1709613063.258,1915760640.000000
1709613064.258,1915727872.000000
1709613065.258,1915793408.000000
1709613066.258,1915793408.000000
1709613067.258,1915760640.000000
1709613068.258,1915760640.000000
1709613069.258,1915793408.000000
1709613070.258,1915826176.000000
1709613071.258,1916014592.000000
1709613072.258,1916018688.000000
1709613073.258,1916018688.000000
1709613074.258,1916018688.000000
1709613075.258,1916018688.000000
1709613076.258,1916018688.000000
1709613077.258,1915985920.000000
1709613078.258,1915985920.000000
1709613079.258,1915953152.000000
1709613080.258,1915953152.000000
1709613081.258,1915887616.000000
1709613082.258,1915887616.000000
1709613083.258,1915887616.000000
1709613084.258,1915887616.000000
1709613085.258,1915887616.000000
1709613086.258,1915854848.000000
1709613087.258,1915887616.000000
1709613088.258,1915887616.000000
1709613089.258,1915887616.000000
1709613090.258,1915887616.000000
1709613091.258,1915854848.000000
1709613092.258,1915854848.000000
1709613093.258,1915854848.000000
1709613094.258,1915854848.000000
1709613095.258,1915854848.000000
1709613096.258,1915887616.000000
1709613097.258,1915854848.000000
1709613098.258,1915854848.000000
1709613099.258,1915854848.000000
1709613100.258,1915854848.000000
1709613101.258,1915854848.000000
1709613102.258,1915822080.000000
1709613103.258,1915822080.000000
1709613104.258,1915822080.000000
1709613105.258,1915887616.000000
1709613106.258,1915854848.000000
1709613107.258,1915854848.000000
1709613108.258,1915854848.000000
1709613109.258,1915920384.000000
1709613110.258,1915887616.000000
1709613111.258,1915887616.000000
1709613112.258,1915854848.000000
1709613113.258,1915822080.000000
1709613114.258,1915822080.000000
1709613115.258,1915854848.000000
1709613116.258,1915822080.000000
1709613117.258,1915789312.000000
1709613118.258,1915789312.000000
1709613119.258,1915789312.000000
1709613120.258,1915789312.000000
1709613121.258,1915789312.000000
1709613122.258,1915723776.000000
1709613123.258,1915756544.000000
1709613124.258,1915723776.000000
1709613125.258,1915756544.000000
1709613126.258,1915723776.000000
1709613127.258,1915756544.000000
1709613128.258,1915756544.000000
1709613129.258,1915756544.000000
1709613130.258,1915756544.000000
1709613131.258,1915756544.000000
1709613132.258,1915691008.000000
1709613133.258,1915691008.000000
1709613134.258,1915723776.000000
1709613135.258,1915723776.000000
1709613136.258,1915723776.000000
1709613137.258,1915691008.000000
1709613138.258,1915691008.000000
1709613139.258,1915691008.000000
1709613140.258,1915691008.000000
1709613141.258,1915756544.000000
1709613142.258,1915691008.000000
1709613143.258,1915691008.000000
1709613144.258,1915658240.000000
1709613145.258,1915756544.000000
1709613146.258,1915691008.000000
1709613147.258,1915691008.000000
1709613148.258,1915691008.000000
1709613149.258,1915723776.000000
1709613150.258,1915723776.000000
1709613151.258,1915658240.000000
1709613152.258,1915691008.000000
1709613153.258,1915658240.000000
1709613154.258,1915723776.000000
1709613155.258,1915723776.000000
1709613156.258,1915756544.000000
1709613157.258,1915691008.000000
1709613158.258,1915691008.000000
1709613159.258,1915691008.000000
1709613160.258,1915723776.000000
1709613161.258,1915723776.000000
1709613162.258,1915691008.000000
1709613163.258,1915658240.000000
1709613164.258,1915658240.000000
1709613165.258,1915658240.000000
1709613166.258,1915625472.000000
1709613167.258,1915625472.000000
1709613168.258,1915625472.000000
1709613169.258,1915625472.000000
1709613170.258,1915625472.000000
1709613171.258,1915625472.000000
1709613172.258,1915592704.000000
1709613173.258,1915592704.000000
1709613174.258,1915559936.000000
1709613175.258,1915592704.000000
1709613176.258,1915527168.000000
1709613177.258,1915527168.000000
1709613178.258,1915527168.000000
1709613179.258,1915494400.000000
1709613180.258,1915527168.000000
1709613181.258,1915461632.000000
1709613182.258,1915203584.000000
1709613183.258,1915236352.000000
1709613184.258,1915236352.000000
1709613185.258,1915236352.000000
1709613186.258,1915269120.000000
1709613187.258,1915269120.000000
1709613188.258,1915269120.000000
1709613189.258,1915334656.000000
1709613190.258,1915334656.000000
1709613191.258,1915334656.000000
1709613192.258,1915367424.000000
1709613193.258,1915400192.000000
1709613194.258,1915367424.000000
1709613195.258,1915432960.000000
1709613196.258,1915432960.000000
1709613197.258,1915400192.000000
1709613198.258,1915400192.000000
1709613199.258,1915432960.000000
1709613200.258,1915465728.000000
1709613201.258,1915400192.000000
1709613202.258,1915400192.000000
1709613203.258,1915400192.000000
1709613204.258,1915400192.000000
1709613205.258,1915400192.000000
1709613206.258,1915465728.000000
1709613207.258,1915432960.000000
1709613208.258,1915465728.000000
1709613209.258,1915465728.000000
1709613210.258,1915465728.000000
1709613211.258,1915432960.000000
1709613212.258,1915465728.000000
1709613213.258,1915432960.000000
1709613214.258,1915432960.000000
1709613215.258,1915432960.000000
1709613216.258,1915432960.000000
1709613217.258,1915400192.000000
1709613218.258,1915367424.000000
1709613219.258,1915400192.000000
1709613220.258,1915367424.000000
1709613221.258,1915367424.000000
1709613222.258,1915334656.000000
1709613223.258,1915367424.000000
1709613224.258,1915334656.000000
1709613225.258,1915334656.000000
1709613226.258,1915334656.000000
1709613227.258,1915367424.000000
1709613228.258,1915334656.000000
1709613229.258,1915334656.000000
1709613230.258,1915334656.000000
1709613231.258,1915367424.000000
1709613232.258,1915301888.000000
1709613233.258,1915301888.000000
1709613234.258,1915367424.000000
1709613235.258,1915367424.000000
1709613236.258,1915334656.000000
1709613237.258,1915334656.000000
1709613238.258,1915301888.000000
1709613239.258,1915301888.000000
1709613240.258,1915334656.000000
1709613241.258,1915367424.000000
1709613242.258,1915301888.000000
1709613243.258,1915334656.000000
1709613244.258,1915367424.000000
1709613245.258,1915367424.000000
1709613246.258,1915367424.000000
1709613247.258,1915367424.000000
1709613248.258,1915367424.000000
1709613249.258,1915367424.000000
1709613250.258,1915367424.000000
1709613251.258,1915400192.000000
1709613252.258,1915334656.000000
1709613253.258,1915301888.000000
1709613254.258,1915334656.000000
1709613255.258,1915334656.000000
1709613256.258,1915367424.000000
1709613257.258,1915334656.000000
1709613258.258,1915334656.000000
1709613259.258,1915334656.000000
1709613260.258,1915334656.000000
1709613261.258,1915301888.000000
1709613262.258,1915367424.000000
1709613263.258,1915367424.000000
1709613264.258,1915334656.000000
1709613265.258,1915400192.000000
1709613266.258,1915400192.000000
1709613267.258,1915400192.000000
1709613268.258,1915334656.000000
1709613269.258,1915432960.000000
1709613270.258,1915170816.000000
1709613271.258,1915207680.000000
1709613272.258,1915174912.000000
1709613273.258,1915207680.000000
1709613274.258,1915207680.000000
1709613275.258,1915273216.000000
1709613276.258,1915273216.000000
1709613277.258,1915240448.000000
1709613278.258,1915273216.000000
1709613279.258,1915240448.000000
1709613280.258,1915305984.000000
1709613281.258,1915305984.000000
1709613282.258,1915273216.000000
1709613283.258,1915207680.000000
1709613284.258,1915207680.000000
1709613285.258,1915240448.000000
1709613286.258,1915240448.000000
1709613287.258,1915240448.000000
1709613288.258,1915240448.000000
1709613289.258,1915273216.000000
1709613290.258,1915273216.000000
1709613291.258,1915240448.000000
1709613292.258,1915207680.000000
1709613293.258,1915207680.000000
1709613294.258,1915207680.000000
1709613295.258,1915273216.000000
1709613296.258,1915273216.000000
1709613297.258,1915207680.000000
1709613298.258,1915207680.000000
1709613299.258,1915207680.000000
1709613300.258,1915174912.000000
1709613301.258,1915174912.000000
1709613302.258,1915174912.000000
1709613303.258,1915174912.000000
1709613304.258,1915142144.000000
1709613305.258,1915174912.000000
1709613306.258,1915142144.000000
1709613307.258,1915174912.000000
1709613308.258,1915174912.000000
1709613309.258,1915240448.000000
1709613310.258,1915207680.000000
1709613311.258,1915207680.000000
1709613312.258,1915240448.000000
1709613313.258,1915207680.000000
1709613314.258,1915273216.000000
1709613315.258,1915273216.000000
1709613316.258,1915207680.000000
1709613317.258,1915305984.000000
1709613318.258,1915273216.000000
1709613319.258,1915305984.000000
1709613320.258,1915305984.000000
1709613321.258,1915338752.000000
1709613322.258,1915273216.000000
1709613323.258,1915305984.000000
1709613324.258,1915305984.000000
1709613325.258,1915338752.000000
1709613326.258,1915305984.000000
1709613327.258,1915273216.000000
1709613328.258,1915305984.000000
1709613329.258,1915305984.000000
1709613330.258,1915305984.000000
1709613331.258,1915305984.000000
1709613332.258,1915305984.000000
1709613333.258,1915305984.000000
1709613334.258,1915338752.000000
1709613335.258,1915338752.000000
1709613336.258,1915338752.000000
1709613337.258,1915338752.000000
1709613338.258,1915371520.000000
1709613339.258,1915338752.000000
1709613340.258,1915371520.000000
1709613341.258,1915371520.000000
1709613342.258,1915305984.000000
1709613343.258,1915305984.000000
1709613344.258,1915305984.000000
1709613345.258,1915305984.000000
1709613346.258,1915305984.000000
1709613347.258,1915305984.000000
1709613348.258,1915273216.000000
1709613349.258,1915273216.000000
1709613350.258,1915273216.000000
1709613351.258,1915240448.000000
1709613352.258,1915207680.000000
1709613353.258,1915207680.000000
1709613354.258,1915240448.000000
1709613355.258,1915273216.000000
1709613356.258,1915240448.000000
1709613357.258,1915273216.000000
1709613358.258,1915207680.000000
1709613359.258,1915240448.000000
1709613360.258,1915240448.000000
1709613361.258,1915240448.000000
1709613362.258,1915240448.000000
1709613363.258,1915240448.000000
1709613364.258,1915240448.000000
1709613365.258,1915240448.000000
1709613366.258,1915240448.000000
1709613367.258,1915207680.000000
1709613368.258,1915174912.000000
1709613369.258,1915174912.000000
1709613370.258,1915207680.000000
1709613371.258,1915174912.000000
1709613372.258,1915174912.000000
1709613373.258,1915109376.000000
1709613374.258,1915174912.000000
1709613375.258,1915174912.000000
1709613376.258,1915142144.000000
1709613377.258,1915174912.000000
1709613378.258,1915109376.000000
1709613379.258,1915174912.000000
1709613380.258,1915174912.000000
1709613381.258,1915174912.000000
1709613382.258,1915174912.000000
1709613383.258,1915109376.000000
1709613384.258,1915142144.000000
1709613385.258,1915142144.000000
1709613386.258,1915142144.000000
1709613387.258,1915142144.000000
1709613388.258,1915076608.000000
1709613389.258,1915076608.000000
1709613390.258,1915076608.000000
1709613391.258,1915076608.000000
1709613392.258,1915076608.000000
1709613393.258,1915142144.000000
1709613394.258,1915142144.000000
1709613395.258,1915142144.000000
1709613396.258,1915109376.000000
1709613397.258,1915207680.000000
1709613398.258,1915109376.000000
1709613399.258,1915142144.000000
1709613400.258,1915142144.000000
1709613401.258,1915273216.000000
1709613402.258,1915240448.000000
1709613403.258,1915305984.000000
1709613404.258,1915273216.000000
1709613405.258,1915338752.000000
1709613406.258,1915338752.000000
1709613407.258,1915305984.000000
1709613408.258,1915305984.000000
1709613409.258,1915305984.000000
1709613410.258,1915305984.000000
1709613411.258,1915338752.000000
1709613412.258,1915305984.000000
1709613413.258,1915305984.000000
1709613414.258,1915273216.000000
1709613415.258,1915273216.000000
1709613416.258,1915305984.000000
1709613417.258,1915305984.000000
1709613418.258,1915240448.000000
1709613419.258,1915240448.000000
1709613420.258,1915240448.000000
1709613421.258,1915240448.000000
1709613422.258,1915240448.000000
1709613423.258,1915207680.000000
1709613424.258,1915174912.000000
1709613425.258,1915174912.000000
1709613426.258,1915174912.000000
1709613427.258,1915207680.000000
1709613428.258,1915174912.000000
1709613429.258,1915174912.000000
1709613430.258,1915207680.000000
1709613431.258,1915207680.000000
1709613432.258,1915240448.000000
1709613433.258,1915174912.000000
1709613434.258,1915174912.000000
1709613435.258,1915174912.000000
1709613436.258,1915174912.000000
1709613437.258,1915207680.000000
1709613438.258,1915207680.000000
1709613439.258,1915207680.000000
1709613440.258,1915207680.000000
1709613441.258,1915207680.000000
1709613442.258,1915207680.000000
1709613443.258,1915174912.000000
1709613444.258,1915174912.000000
1709613445.258,1915207680.000000
1709613446.258,1915207680.000000
1709613447.258,1915207680.000000
1709613448.258,1915207680.000000
1709613449.258,1915207680.000000
1709613450.258,1915207680.000000
1709613451.258,1915207680.000000
1709613452.258,1915207680.000000
1709613453.258,1915207680.000000
1709613454.258,1915207680.000000
1709613455.258,1915207680.000000
1709613456.258,1915207680.000000
1709613457.258,1915240448.000000
1709613458.258,1915207680.000000
1709613459.258,1915207680.000000
1709613460.258,1915240448.000000
1709613461.258,1915240448.000000
1709613462.258,1915240448.000000
1709613463.258,1915240448.000000
1709613464.258,1915240448.000000
1709613465.258,1915240448.000000
1709613466.258,1915240448.000000
1709613467.258,1915207680.000000
1709613468.258,1915240448.000000
1709613469.258,1915174912.000000
1709613470.258,1915305984.000000
1709613471.258,1915273216.000000
1709613472.258,1915305984.000000
1709613473.258,1915240448.000000
1709613474.258,1915240448.000000
1709613475.258,1915305984.000000
1709613476.258,1915273216.000000
1709613477.258,1915338752.000000
1709613478.258,1915338752.000000
1709613479.258,1915371520.000000
1709613480.258,1915371520.000000
1709613481.258,1915338752.000000
1709613482.258,1915338752.000000
1709613483.258,1915305984.000000
1709613484.258,1915338752.000000
1709613485.258,1915338752.000000
1709613486.258,1915371520.000000
1709613487.258,1915338752.000000
1709613488.258,1915371520.000000
1709613489.258,1915371520.000000
1709613490.258,1915371520.000000
1709613491.258,1915371520.000000
1709613492.258,1915404288.000000
1709613493.258,1915404288.000000
1709613494.258,1915437056.000000
1709613495.258,1915437056.000000
1709613496.258,1915404288.000000
1709613497.258,1915404288.000000
1709613498.258,1915371520.000000
1709613499.258,1915371520.000000
1709613500.258,1915404288.000000
1709613501.258,1915404288.000000
1709613502.258,1915404288.000000
1709613503.258,1915371520.000000
1709613504.258,1915371520.000000
1709613505.258,1915338752.000000
1709613506.258,1915338752.000000
1709613507.258,1915338752.000000
1709613508.258,1915273216.000000
1709613509.258,1915273216.000000
1709613510.258,1915338752.000000
1709613511.258,1915305984.000000
1709613512.258,1915305984.000000
1709613513.258,1915273216.000000
1709613514.258,1915240448.000000
1709613515.258,1915240448.000000
1709613516.258,1915207680.000000
1709613517.258,1915273216.000000
1709613518.258,1915240448.000000
1709613519.258,1915207680.000000
1709613520.258,1915207680.000000
1709613521.258,1915240448.000000
1709613522.258,1915207680.000000
1709613523.258,1915207680.000000
1709613524.258,1915273216.000000
1709613525.258,1915207680.000000
1709613526.258,1915273216.000000
1709613527.258,1915240448.000000
1709613528.258,1915240448.000000
1709613529.258,1915240448.000000
1709613530.258,1915207680.000000
1709613531.258,1915273216.000000
1709613532.258,1915240448.000000
1709613533.258,1915273216.000000
1709613534.258,1915273216.000000
1709613535.258,1915305984.000000
1709613536.258,1915273216.000000
1709613537.258,1915273216.000000
1709613538.258,1915240448.000000
1709613539.258,1915273216.000000
1709613540.258,1915273216.000000
1709613541.258,1915305984.000000
1709613542.258,1915273216.000000
1709613543.258,1915207680.000000
1709613544.258,1915207680.000000
1709613545.258,1915273216.000000
1709613546.258,1915240448.000000
1709613547.258,1915240448.000000
1709613548.258,1915240448.000000
1709613549.258,1915273216.000000
1709613550.258,1915273216.000000
1709613551.258,1915273216.000000
1709613552.258,1915273216.000000
1709613553.258,1915273216.000000
1709613554.258,1915305984.000000
1709613555.258,1915305984.000000
1709613556.258,1915273216.000000
1709613557.258,1915305984.000000
1709613558.258,1915273216.000000
1709613559.258,1915273216.000000
1709613560.258,1915240448.000000
1709613561.258,1915305984.000000
1709613562.258,1915305984.000000
1709613563.258,1915305984.000000
1709613564.258,1915305984.000000
1709613565.258,1915338752.000000
1709613566.258,1915338752.000000
1709613567.258,1915404288.000000
1709613568.258,1915371520.000000
1709613569.258,1915338752.000000
1709613570.258,1915338752.000000
1709613571.258,1915338752.000000
1709613572.258,1915371520.000000
1709613573.258,1915305984.000000
1709613574.258,1915338752.000000
1709613575.258,1915305984.000000
1709613576.258,1915305984.000000
1709613577.258,1915338752.000000
1709613578.258,1915305984.000000
1709613579.258,1915305984.000000
1709613580.258,1915273216.000000
1709613581.258,1915305984.000000
1709613582.258,1915305984.000000
1709613583.258,1915305984.000000
1709613584.258,1915305984.000000
1709613585.258,1915305984.000000
1709613586.258,1915338752.000000
1709613587.258,1915305984.000000
1709613588.258,1915305984.000000
1709613589.258,1915564032.000000
1709613590.258,1915564032.000000
1709613591.258,1915564032.000000
1709613592.258,1915564032.000000
1709613593.258,1915596800.000000
1709613594.258,1915564032.000000
1709613595.258,1915662336.000000
1709613596.258,1915629568.000000
1709613597.258,1915629568.000000
1709613598.258,1915564032.000000
1709613599.258,1915564032.000000
1709613600.258,1915564032.000000
1709613601.258,1915564032.000000
1709613602.258,1915564032.000000
1709613603.258,1915564032.000000
1709613604.258,1915564032.000000
1709613605.258,1915305984.000000
1709613606.258,1915273216.000000
1709613607.258,1915371520.000000
1709613608.258,1915371520.000000
1709613609.258,1915305984.000000
1709613610.258,1915404288.000000
1709613611.258,1915338752.000000
1709613612.258,1915371520.000000
1709613613.258,1915404288.000000
1709613614.258,1915371520.000000
1709613615.258,1915404288.000000
1709613616.258,1915404288.000000
1709613617.258,1915371520.000000
1709613618.258,1915437056.000000
1709613619.258,1915469824.000000
1709613620.258,1915469824.000000
1709613621.258,1915469824.000000
1709613622.258,1915469824.000000
1709613623.258,1915469824.000000
1709613624.258,1915469824.000000
1709613625.258,1915469824.000000
1709613626.258,1915469824.000000
1709613627.258,1915469824.000000
1709613628.258,1915437056.000000
1709613629.258,1915437056.000000
1709613630.258,1915404288.000000
1709613631.258,1915437056.000000
1709613632.258,1915404288.000000
1709613633.258,1915437056.000000
1709613634.258,1915371520.000000
1709613635.258,1915469824.000000
1709613636.258,1915437056.000000
1709613637.258,1915437056.000000
1709613638.258,1915371520.000000
1709613639.258,1915469824.000000
1709613640.258,1915437056.000000
1709613641.258,1915469824.000000
1709613642.258,1915469824.000000
1709613643.258,1915469824.000000
1709613644.258,1915437056.000000
1709613645.258,1915502592.000000
1709613646.258,1915437056.000000
1709613647.258,1915502592.000000
1709613648.258,1915437056.000000
1709613649.258,1915437056.000000
1709613650.258,1915437056.000000
1709613651.258,1915437056.000000
1709613652.258,1915437056.000000
1709613653.258,1915437056.000000
1709613654.258,1915437056.000000
1709613655.258,1915404288.000000
1709613656.258,1915437056.000000
1709613657.258,1915437056.000000
1709613658.258,1915437056.000000
1709613659.258,1915437056.000000
1709613660.258,1915469824.000000
1709613661.258,1915469824.000000
1709613662.258,1915469824.000000
1709613663.258,1915469824.000000
1709613664.258,1915469824.000000
1709613665.258,1915469824.000000
1709613666.258,1915437056.000000
1709613667.258,1915469824.000000
1709613668.258,1915502592.000000
1709613669.258,1915535360.000000
1709613670.258,1915568128.000000
1709613671.258,1915568128.000000
1709613672.258,1915568128.000000
1709613673.258,1915568128.000000
1709613674.258,1915568128.000000
1709613675.258,1915568128.000000
1709613676.258,1915535360.000000
1709613677.258,1915535360.000000
1709613678.258,1915535360.000000
1709613679.258,1915502592.000000
1709613680.258,1915502592.000000
1709613681.258,1915535360.000000
1709613682.258,1915535360.000000
1709613683.258,1915535360.000000
1709613684.258,1915502592.000000
1709613685.258,1915502592.000000
1709613686.258,1915568128.000000
1709613687.258,1915568128.000000
1709613688.258,1915568128.000000
1709613689.258,1915502592.000000
1709613690.258,1915502592.000000
1709613691.258,1915502592.000000
1709613692.258,1915502592.000000
1709613693.258,1915502592.000000
1709613694.258,1915437056.000000
1709613695.258,1915502592.000000
1709613696.258,1915502592.000000
1709613697.258,1915502592.000000
1709613698.258,1915535360.000000
1709613699.258,1915535360.000000
1709613700.258,1915535360.000000
1709613701.258,1915502592.000000
1709613702.258,1915502592.000000
1709613703.258,1915502592.000000
1709613704.258,1915502592.000000
1709613705.258,1915502592.000000
1709613706.258,1915502592.000000
1709613707.258,1915502592.000000
1709613708.258,1915502592.000000
1709613709.258,1915535360.000000
1709613710.258,1915535360.000000
1709613711.258,1915568128.000000
1709613712.258,1915535360.000000
1709613713.258,1915535360.000000
1709613714.258,1915535360.000000
1709613715.258,1915535360.000000
1709613716.258,1915535360.000000
1709613717.258,1915535360.000000
1709613718.258,1915502592.000000
1709613719.258,1915502592.000000
1709613720.258,1915469824.000000
1709613721.258,1915502592.000000
1709613722.258,1915502592.000000
1709613723.258,1915502592.000000
1709613724.258,1915469824.000000
1709613725.258,1915469824.000000
1709613726.258,1915469824.000000
1709613727.258,1915437056.000000
1709613728.258,1915437056.000000
1709613729.258,1915437056.000000
1709613730.258,1915371520.000000
1709613731.258,1915437056.000000
1709613732.258,1915437056.000000
1709613733.258,1915404288.000000
1709613734.258,1915404288.000000
1709613735.258,1915404288.000000
1709613736.258,1915404288.000000
1709613737.258,1915404288.000000
1709613738.258,1915404288.000000
1709613739.258,1915371520.000000
1709613740.258,1915371520.000000
1709613741.258,1915338752.000000
1709613742.258,1915338752.000000
1709613743.258,1915338752.000000
1709613744.258,1915305984.000000
1709613745.258,1915305984.000000
1709613746.258,1915338752.000000
1709613747.258,1915305984.000000
1709613748.258,1915305984.000000
1709613749.258,1915207680.000000
1709613750.258,1915240448.000000
1709613751.258,1915240448.000000
1709613752.258,1915273216.000000
