PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,87862.148831,8.786215,
1,521,521,0,0.000000,0.000000,3627.036661,6.961683
2,438,438,0,0.000000,0.000000,3024.218501,6.904608
3,383,383,0,0.000000,0.000000,2719.477302,7.100463
4,358,358,0,0.000000,0.000000,2587.438747,7.227483
5,318,318,0,0.000000,0.000000,2222.207331,6.988073
6,269,269,0,0.000000,0.000000,2009.962891,7.471981
7,238,238,0,0.000000,0.000000,1879.790168,7.898278
8,231,231,0,0.000000,0.000000,1825.725489,7.903574
9,232,232,0,0.000000,0.000000,1840.209480,7.931937
10,189,189,0,0.000000,0.000000,1474.640983,7.802333
11,185,185,0,0.000000,0.000000,1457.309489,7.877349
12,162,162,0,0.000000,0.000000,1269.664215,7.837433
13,208,208,0,0.000000,0.000000,1571.407763,7.554845
14,171,171,0,0.000000,0.000000,1499.213645,8.767331
15,151,151,0,0.000000,0.000000,1257.435632,8.327388
16,151,151,0,0.000000,0.000000,1254.397061,8.307265
17,149,149,0,0.000000,0.000000,1222.995373,8.208023
18,147,147,0,0.000000,0.000000,1293.152260,8.796954
19,138,138,0,0.000000,0.000000,1124.080337,8.145510
20,136,136,0,0.000000,0.000000,1168.354608,8.590843
21,120,120,0,0.000000,0.000000,1042.448659,8.687072
22,118,118,0,0.000000,0.000000,988.220848,8.374753
23,110,110,0,0.000000,0.000000,1006.023150,9.145665
24,111,111,0,0.000000,0.000000,973.781068,8.772802
25,110,110,0,0.000000,0.000000,946.740223,8.606729
26,122,122,0,0.000000,0.000000,1042.949984,8.548770
27,95,95,0,0.000000,0.000000,822.257145,8.655338
28,90,90,0,0.000000,0.000000,847.839382,9.420438
29,115,115,0,0.000000,0.000000,1000.251394,8.697838
30,82,82,0,0.000000,0.000000,818.118923,9.977060
31,102,102,0,0.000000,0.000000,891.377760,8.738998
32,96,96,0,0.000000,0.000000,906.748425,9.445296
33,103,103,0,0.000000,0.000000,894.650332,8.685926
34,80,80,0,0.000000,0.000000,761.828427,9.522855
35,96,96,0,0.000000,0.000000,885.620330,9.225212
36,85,85,0,0.000000,0.000000,792.701087,9.325895
37,87,87,0,0.000000,0.000000,883.082517,10.150374
38,59,59,0,0.000000,0.000000,595.395582,10.091451
39,83,83,0,0.000000,0.000000,734.100183,8.844581
40,92,92,0,0.000000,0.000000,866.004560,9.413093
41,64,64,0,0.000000,0.000000,618.385585,9.662275
42,81,81,0,0.000000,0.000000,775.069681,9.568761
43,88,88,0,0.000000,0.000000,815.944530,9.272097
44,65,65,0,0.000000,0.000000,625.892118,9.629110
45,73,73,0,0.000000,0.000000,653.067389,8.946129
46,72,72,0,0.000000,0.000000,686.892899,9.540179
47,51,51,0,0.000000,0.000000,517.988285,10.156633
48,64,64,0,0.000000,0.000000,604.503185,9.445362
49,85,85,0,0.000000,0.000000,784.540764,9.229891
50,70,70,0,0.000000,0.000000,690.534413,9.864777
51,74,74,0,0.000000,0.000000,718.589636,9.710671
52,81,81,0,0.000000,0.000000,776.122723,9.581762
53,72,72,0,0.000000,0.000000,743.287536,10.323438
54,74,74,0,0.000000,0.000000,749.833542,10.132886
55,76,76,0,0.000000,0.000000,707.895104,9.314409
56,63,63,0,0.000000,0.000000,599.055125,9.508812
57,69,69,0,0.000000,0.000000,769.258890,11.148680
58,55,55,0,0.000000,0.000000,549.000323,9.981824
59,73,73,0,0.000000,0.000000,737.408898,10.101492
60,52,52,0,0.000000,0.000000,539.607662,10.377070
61,62,62,0,0.000000,0.000000,581.661688,9.381640
62,72,72,0,0.000000,0.000000,741.394175,10.297141
63,60,60,0,0.000000,0.000000,632.770541,10.546176
64,56,56,0,0.000000,0.000000,561.710277,10.030541
65,57,57,0,0.000000,0.000000,614.316265,10.777478
66,48,48,0,0.000000,0.000000,536.954765,11.186558
67,65,65,0,0.000000,0.000000,668.581481,10.285869
68,47,47,0,0.000000,0.000000,483.958527,10.296990
69,49,49,0,0.000000,0.000000,520.658570,10.625685
70,55,55,0,0.000000,0.000000,587.083678,10.674249
71,55,55,0,0.000000,0.000000,559.124320,10.165897
72,49,49,0,0.000000,0.000000,511.189006,10.432429
73,44,44,0,0.000000,0.000000,486.010375,11.045690
74,35,35,0,0.000000,0.000000,409.622879,11.703511
75,47,47,0,0.000000,0.000000,506.652139,10.779833
76,27,27,0,0.000000,0.000000,337.695292,12.507233
77,37,37,0,0.000000,0.000000,443.170398,11.977578
78,55,55,0,0.000000,0.000000,602.163259,10.948423
79,55,55,0,0.000000,0.000000,622.726439,11.322299
80,47,47,0,0.000000,0.000000,501.018518,10.659968
81,50,50,0,0.000000,0.000000,524.514883,10.490298
