epoch,value
1709538675.032,25309184.000000
1709538676.032,25313280.000000
1709538677.032,25341952.000000
1709538678.032,25341952.000000
1709538679.032,25350144.000000
1709538680.032,25350144.000000
1709538681.032,25350144.000000
1709538682.032,25354240.000000
1709538683.032,25354240.000000
1709538684.032,25354240.000000
1709538685.032,25358336.000000
1709538686.032,25358336.000000
1709538687.032,25358336.000000
1709538688.032,25358336.000000
1709538689.032,25358336.000000
1709538690.032,25358336.000000
1709538691.032,25358336.000000
1709538692.032,25358336.000000
1709538693.032,25358336.000000
1709538694.032,25358336.000000
1709538695.032,25358336.000000
1709538696.032,25358336.000000
1709538697.032,25358336.000000
1709538698.032,25358336.000000
1709538699.032,25358336.000000
1709538700.032,25358336.000000
1709538701.032,25358336.000000
1709538702.032,25358336.000000
1709538703.032,25358336.000000
1709538704.032,25358336.000000
1709538705.032,25358336.000000
1709538706.032,25358336.000000
1709538707.032,25358336.000000
1709538708.032,25358336.000000
1709538709.032,25358336.000000
1709538710.032,25358336.000000
1709538711.032,25358336.000000
1709538712.032,25358336.000000
1709538713.032,25358336.000000
1709538714.032,25358336.000000
1709538715.032,25358336.000000
1709538716.032,25358336.000000
1709538717.032,25358336.000000
1709538718.032,25358336.000000
1709538719.032,25358336.000000
1709538720.032,25358336.000000
1709538721.032,25358336.000000
1709538722.032,25358336.000000
1709538723.032,25358336.000000
1709538724.032,25358336.000000
1709538725.032,25358336.000000
1709538726.032,25358336.000000
1709538727.032,25358336.000000
1709538728.032,25358336.000000
1709538729.032,25358336.000000
1709538730.032,25358336.000000
1709538731.032,25358336.000000
1709538732.032,25358336.000000
1709538733.032,25358336.000000
1709538734.032,25358336.000000
1709538735.032,25358336.000000
1709538736.032,25358336.000000
1709538737.032,25358336.000000
1709538738.032,25358336.000000
1709538739.032,25358336.000000
1709538740.032,25358336.000000
1709538741.032,25358336.000000
1709538742.032,25358336.000000
1709538743.032,25358336.000000
1709538744.032,25358336.000000
1709538745.032,25358336.000000
1709538746.032,25358336.000000
1709538747.032,25358336.000000
1709538748.032,25358336.000000
1709538749.032,25358336.000000
1709538750.032,25358336.000000
1709538751.032,25358336.000000
1709538752.032,25358336.000000
1709538753.032,25358336.000000
1709538754.032,25358336.000000
1709538755.032,25358336.000000
1709538756.032,25358336.000000
1709538757.032,25358336.000000
1709538758.032,25358336.000000
1709538759.032,25358336.000000
1709538760.032,25358336.000000
1709538761.032,25358336.000000
1709538762.032,25358336.000000
1709538763.032,25358336.000000
1709538764.032,25358336.000000
1709538765.032,25358336.000000
1709538766.032,25358336.000000
1709538767.032,25358336.000000
1709538768.032,25358336.000000
1709538769.032,25358336.000000
1709538770.032,25358336.000000
1709538771.032,25358336.000000
1709538772.032,25358336.000000
1709538773.032,25358336.000000
1709538774.032,25358336.000000
1709538775.032,25358336.000000
1709538776.032,25358336.000000
1709538777.032,25358336.000000
1709538778.032,25358336.000000
1709538779.032,25358336.000000
1709538780.032,25358336.000000
1709538781.032,25358336.000000
1709538782.032,25358336.000000
1709538783.032,25358336.000000
1709538784.032,25358336.000000
1709538785.032,25358336.000000
1709538786.032,25358336.000000
1709538787.032,25358336.000000
1709538788.032,25358336.000000
1709538789.032,25358336.000000
1709538790.032,25358336.000000
1709538791.032,25358336.000000
1709538792.032,25358336.000000
1709538793.032,25358336.000000
1709538794.032,25358336.000000
1709538795.032,25358336.000000
