epoch,value
1709557353.005,59592704.000000
1709557354.005,60755968.000000
1709557355.005,59539456.000000
1709557356.005,59756544.000000
1709557357.005,59789312.000000
1709557358.005,59789312.000000
1709557359.005,59789312.000000
1709557360.005,59822080.000000
1709557361.005,59822080.000000
1709557362.005,59822080.000000
1709557363.005,60006400.000000
1709557364.005,60735488.000000
1709557365.005,60612608.000000
1709557366.005,60612608.000000
1709557367.005,60645376.000000
1709557368.005,60387328.000000
1709557369.005,60772352.000000
1709557370.005,60772352.000000
1709557371.005,60772352.000000
1709557372.005,60260352.000000
1709557373.005,60547072.000000
1709557374.005,60096512.000000
1709557375.005,60096512.000000
1709557376.005,60096512.000000
1709557377.005,60096512.000000
1709557378.005,60096512.000000
1709557379.005,60096512.000000
1709557380.005,60092416.000000
1709557381.005,60092416.000000
1709557382.005,60125184.000000
1709557383.005,61931520.000000
1709557384.005,61403136.000000
1709557385.005,61403136.000000
1709557386.005,61403136.000000
1709557387.005,61403136.000000
1709557388.005,61403136.000000
1709557389.005,60911616.000000
1709557390.005,61300736.000000
1709557391.005,61325312.000000
1709557392.005,61485056.000000
1709557393.005,61644800.000000
1709557394.005,61767680.000000
1709557395.005,61927424.000000
1709557396.005,62058496.000000
1709557397.005,62099456.000000
1709557398.005,62164992.000000
1709557399.005,62435328.000000
1709557400.005,62447616.000000
1709557401.005,62517248.000000
1709557402.005,62480384.000000
1709557403.005,62517248.000000
1709557404.005,61661184.000000
1709557405.005,61931520.000000
1709557406.005,61927424.000000
1709557407.005,61673472.000000
1709557408.005,61640704.000000
1709557409.005,62734336.000000
1709557410.005,62734336.000000
1709557411.005,62652416.000000
1709557412.005,62636032.000000
1709557413.005,62607360.000000
1709557414.005,62685184.000000
1709557415.005,62435328.000000
1709557416.005,62402560.000000
1709557417.005,62435328.000000
1709557418.005,62394368.000000
1709557419.005,62423040.000000
1709557420.005,62418944.000000
1709557421.005,62418944.000000
1709557422.005,62447616.000000
1709557423.005,62443520.000000
1709557424.005,62697472.000000
1709557425.005,62500864.000000
1709557426.005,62451712.000000
1709557427.005,62349312.000000
1709557428.005,62525440.000000
1709557429.005,62775296.000000
1709557430.005,62599168.000000
1709557431.005,62656512.000000
1709557432.005,62697472.000000
1709557433.005,62668800.000000
1709557434.005,61845504.000000
1709557435.005,61980672.000000
1709557436.005,61800448.000000
1709557437.005,61857792.000000
1709557438.005,62115840.000000
1709557439.005,62611456.000000
1709557440.005,62603264.000000
1709557441.005,62631936.000000
1709557442.005,62631936.000000
1709557443.005,62631936.000000
1709557444.005,62406656.000000
1709557445.005,62406656.000000
1709557446.005,62406656.000000
1709557447.005,62406656.000000
1709557448.005,62406656.000000
1709557449.005,63164416.000000
1709557450.005,63160320.000000
1709557451.005,63160320.000000
1709557452.005,63160320.000000
1709557453.005,63160320.000000
1709557454.005,62160896.000000
1709557455.005,62160896.000000
1709557456.005,62160896.000000
1709557457.005,62160896.000000
1709557458.005,62160896.000000
1709557459.005,62930944.000000
1709557460.005,62930944.000000
1709557461.005,62930944.000000
1709557462.005,62930944.000000
1709557463.005,62963712.000000
1709557464.005,61669376.000000
1709557465.005,61669376.000000
1709557466.005,61669376.000000
1709557467.005,61669376.000000
1709557468.005,61669376.000000
1709557469.005,61411328.000000
1709557470.005,61411328.000000
1709557471.005,61411328.000000
1709557472.005,61411328.000000
1709557473.005,61444096.000000
1709557474.005,61702144.000000
1709557475.005,61702144.000000
1709557476.005,61698048.000000
1709557477.005,61693952.000000
1709557478.005,61693952.000000
1709557479.005,62726144.000000
1709557480.005,62758912.000000
1709557481.005,62758912.000000
1709557482.005,62758912.000000
1709557483.005,62758912.000000
1709557484.005,62758912.000000
1709557485.005,62746624.000000
1709557486.005,62742528.000000
1709557487.005,62742528.000000
1709557488.005,63000576.000000
1709557489.005,63549440.000000
1709557490.005,63545344.000000
1709557491.005,63545344.000000
1709557492.005,63545344.000000
1709557493.005,63545344.000000
1709557494.005,63287296.000000
1709557495.005,63287296.000000
1709557496.005,63287296.000000
1709557497.005,63287296.000000
1709557498.005,63287296.000000
1709557499.005,62865408.000000
1709557500.005,62865408.000000
1709557501.005,62865408.000000
1709557502.005,63442944.000000
