epoch,value
1709559939.012,22179840.000000
1709559940.012,22212608.000000
1709559941.012,22306816.000000
1709559942.012,22306816.000000
1709559943.012,22306816.000000
1709559944.012,22306816.000000
1709559945.012,22306816.000000
1709559946.012,22306816.000000
1709559947.012,22306816.000000
1709559948.012,22077440.000000
1709559949.012,22106112.000000
1709559950.012,22106112.000000
1709559951.012,22106112.000000
1709559952.012,22106112.000000
1709559953.012,22106112.000000
1709559954.012,22106112.000000
1709559955.012,22106112.000000
1709559956.012,22110208.000000
1709559957.012,22110208.000000
1709559958.012,22110208.000000
1709559959.012,22110208.000000
1709559960.012,22110208.000000
1709559961.012,22110208.000000
1709559962.012,22110208.000000
1709559963.012,22110208.000000
1709559964.012,22110208.000000
1709559965.012,22110208.000000
1709559966.012,22110208.000000
1709559967.012,22110208.000000
1709559968.012,22110208.000000
1709559969.012,22114304.000000
1709559970.012,22114304.000000
1709559971.012,22114304.000000
1709559972.012,22114304.000000
1709559973.012,22114304.000000
1709559974.012,22114304.000000
1709559975.012,22114304.000000
1709559976.012,22114304.000000
1709559977.012,22097920.000000
1709559978.012,22097920.000000
1709559979.012,22097920.000000
1709559980.012,22097920.000000
1709559981.012,22097920.000000
1709559982.012,22097920.000000
1709559983.012,22097920.000000
1709559984.012,22097920.000000
1709559985.012,22097920.000000
1709559986.012,22097920.000000
1709559987.012,22097920.000000
1709559988.012,22097920.000000
1709559989.012,22097920.000000
1709559990.012,22097920.000000
1709559991.012,21659648.000000
1709559992.012,21680128.000000
1709559993.012,21483520.000000
1709559994.012,21483520.000000
1709559995.012,21491712.000000
1709559996.012,21295104.000000
1709559997.012,21139456.000000
1709559998.012,21082112.000000
1709559999.012,21073920.000000
1709560000.012,21073920.000000
1709560001.012,21073920.000000
1709560002.012,21073920.000000
1709560003.012,21073920.000000
1709560004.012,21073920.000000
1709560005.012,21073920.000000
1709560006.012,21073920.000000
1709560007.012,21037056.000000
1709560008.012,21045248.000000
1709560009.012,21049344.000000
1709560010.012,21053440.000000
1709560011.012,21053440.000000
1709560012.012,21061632.000000
1709560013.012,21065728.000000
1709560014.012,21061632.000000
1709560015.012,21061632.000000
1709560016.012,21061632.000000
1709560017.012,21061632.000000
1709560018.012,21061632.000000
1709560019.012,21061632.000000
1709560020.012,21061632.000000
1709560021.012,21061632.000000
1709560022.012,21069824.000000
1709560023.012,21069824.000000
1709560024.012,21078016.000000
1709560025.012,21078016.000000
1709560026.012,21086208.000000
1709560027.012,21098496.000000
1709560028.012,21110784.000000
1709560029.012,21110784.000000
1709560030.012,21118976.000000
1709560031.012,21061632.000000
1709560032.012,21086208.000000
1709560033.012,21086208.000000
1709560034.012,21086208.000000
1709560035.012,21098496.000000
1709560036.012,21098496.000000
1709560037.012,21098496.000000
1709560038.012,21094400.000000
1709560039.012,21094400.000000
1709560040.012,21094400.000000
1709560041.012,21094400.000000
1709560042.012,21094400.000000
1709560043.012,21094400.000000
1709560044.012,21094400.000000
1709560045.012,21094400.000000
1709560046.012,21094400.000000
1709560047.012,21094400.000000
1709560048.012,21094400.000000
1709560049.012,21094400.000000
1709560050.012,21094400.000000
1709560051.012,21094400.000000
1709560052.012,21094400.000000
1709560053.012,21094400.000000
1709560054.012,21094400.000000
1709560055.012,21094400.000000
1709560056.012,21094400.000000
1709560057.012,21094400.000000
1709560058.012,21094400.000000
1709560059.012,21094400.000000
1709560060.012,21094400.000000
1709560061.012,21094400.000000
1709560062.012,21094400.000000
1709560063.012,21094400.000000
1709560064.012,21094400.000000
1709560065.012,21094400.000000
1709560066.012,21094400.000000
1709560067.012,21094400.000000
1709560068.012,21094400.000000
1709560069.012,21094400.000000
1709560070.012,21094400.000000
1709560071.012,21094400.000000
1709560072.012,21094400.000000
1709560073.012,21094400.000000
1709560074.012,21086208.000000
1709560075.012,21086208.000000
1709560076.012,21086208.000000
1709560077.012,21086208.000000
1709560078.012,21086208.000000
1709560079.012,21086208.000000
