epoch,shortterm,midterm,longterm
1709611472.013,0.385742,0.119141,0.041016
1709611473.013,0.385742,0.119141,0.041016
1709611474.014,0.354492,0.116699,0.040527
1709611475.013,0.354492,0.116699,0.040527
1709611476.013,0.354492,0.116699,0.040527
1709611477.014,0.354492,0.116699,0.040527
1709611478.013,0.354492,0.116699,0.040527
1709611479.013,0.325684,0.114746,0.040039
1709611480.015,0.325684,0.114746,0.040039
1709611481.015,0.325684,0.114746,0.040039
1709611482.015,0.325684,0.114746,0.040039
1709611483.013,0.325684,0.114746,0.040039
1709611484.014,0.299316,0.112793,0.039551
1709611485.013,0.299316,0.112793,0.039551
1709611486.014,0.299316,0.112793,0.039551
1709611487.014,0.299316,0.112793,0.039551
1709611488.013,0.299316,0.112793,0.039551
1709611489.014,0.274902,0.110840,0.039062
1709611490.014,0.274902,0.110840,0.039062
1709611491.015,0.274902,0.110840,0.039062
1709611492.013,0.274902,0.110840,0.039062
1709611493.015,0.274902,0.110840,0.039062
1709611494.015,0.252441,0.108887,0.038574
1709611495.014,0.252441,0.108887,0.038574
1709611496.013,0.252441,0.108887,0.038574
1709611497.013,0.252441,0.108887,0.038574
1709611498.013,0.252441,0.108887,0.038574
1709611499.013,0.231934,0.106934,0.038086
1709611500.014,0.231934,0.106934,0.038086
1709611501.014,0.231934,0.106934,0.038086
1709611502.014,0.231934,0.106934,0.038086
1709611503.013,0.231934,0.106934,0.038086
1709611504.014,0.212891,0.104980,0.037598
1709611505.014,0.212891,0.104980,0.037598
1709611506.013,0.212891,0.104980,0.037598
1709611507.014,0.212891,0.104980,0.037598
1709611508.015,0.212891,0.104980,0.037598
1709611509.013,0.195801,0.103027,0.037109
1709611510.015,0.195801,0.103027,0.037109
1709611511.013,0.195801,0.103027,0.037109
1709611512.017,0.195801,0.103027,0.037109
1709611513.013,0.195801,0.103027,0.037109
1709611514.014,0.179688,0.101074,0.036621
1709611515.014,0.179688,0.101074,0.036621
1709611516.013,0.179688,0.101074,0.036621
