interest,rtt(ms)
/skenario1-1-1-10/traffic83,25.877672
/skenario1-1-1-10/traffic18,31.197950
/skenario1-1-1-10/traffic1,31.563249
/skenario1-1-1-10/traffic1,25.333358
/skenario1-1-1-10/traffic1,22.796079
/skenario1-1-1-10/traffic1,17.562854
/skenario1-1-1-10/traffic26,36.642618
/skenario1-1-1-10/traffic13,36.964903
/skenario1-1-1-10/traffic3,37.161065
/skenario1-1-1-10/traffic3,37.122958
/skenario1-1-1-10/traffic3,37.065569
/skenario1-1-1-10/traffic4,34.627581
/skenario1-1-1-10/traffic64,34.529660
/skenario1-1-1-10/traffic16,34.248633
/skenario1-1-1-10/traffic12,33.244904
/skenario1-1-1-10/traffic23,32.677246
/skenario1-1-1-10/traffic8,30.586861
/skenario1-1-1-10/traffic8,22.525057
/skenario1-1-1-10/traffic76,28.488212
/skenario1-1-1-10/traffic60,28.811583
/skenario1-1-1-10/traffic100,28.925329
/skenario1-1-1-10/traffic9,28.086299
/skenario1-1-1-10/traffic9,0.982968
/skenario1-1-1-10/traffic74,27.635631
/skenario1-1-1-10/traffic40,26.406784
/skenario1-1-1-10/traffic1,6.844126
/skenario1-1-1-10/traffic21,16.467445
/skenario1-1-1-10/traffic41,16.507675
/skenario1-1-1-10/traffic12,12.759981
/skenario1-1-1-10/traffic14,19.261402
/skenario1-1-1-10/traffic60,11.102658
/skenario1-1-1-10/traffic84,18.638800
/skenario1-1-1-10/traffic45,17.924684
/skenario1-1-1-10/traffic27,17.370856
/skenario1-1-1-10/traffic19,17.113012
/skenario1-1-1-10/traffic10,14.816850
/skenario1-1-1-10/traffic2,12.600381
/skenario1-1-1-10/traffic2,8.108718
/skenario1-1-1-10/traffic1,5.659719
/skenario1-1-1-10/traffic40,11.552887
/skenario1-1-1-10/traffic9,10.631917
/skenario1-1-1-10/traffic10,10.930107
/skenario1-1-1-10/traffic45,11.287462
/skenario1-1-1-10/traffic8,11.304145
/skenario1-1-1-10/traffic1,11.672263
/skenario1-1-1-10/traffic81,16.753062
/skenario1-1-1-10/traffic25,16.880202
/skenario1-1-1-10/traffic31,16.945296
/skenario1-1-1-10/traffic2,10.663872
/skenario1-1-1-10/traffic35,16.079901
/skenario1-1-1-10/traffic19,11.620901
/skenario1-1-1-10/traffic89,12.636861
/skenario1-1-1-10/traffic1,7.658589
/skenario1-1-1-10/traffic21,7.899847
/skenario1-1-1-10/traffic41,14.723836
/skenario1-1-1-10/traffic63,27.574554
/skenario1-1-1-10/traffic63,13.117468
/skenario1-1-1-10/traffic4,15.977695
/skenario1-1-1-10/traffic6,27.077231
/skenario1-1-1-10/traffic60,19.495973
/skenario1-1-1-10/traffic72,29.356515
/skenario1-1-1-10/traffic17,29.882709
/skenario1-1-1-10/traffic25,20.001203
/skenario1-1-1-10/traffic9,20.077842
/skenario1-1-1-10/traffic5,24.943288
/skenario1-1-1-10/traffic97,23.879541
/skenario1-1-1-10/traffic32,28.312895
/skenario1-1-1-10/traffic98,29.471475
/skenario1-1-1-10/traffic54,29.095771
/skenario1-1-1-10/traffic38,28.976018
/skenario1-1-1-10/traffic67,28.993067
/skenario1-1-1-10/traffic79,28.830140
/skenario1-1-1-10/traffic52,28.193387
/skenario1-1-1-10/traffic3,23.514576
/skenario1-1-1-10/traffic2,5.795072
/skenario1-1-1-10/traffic2,6.024401
/skenario1-1-1-10/traffic14,6.708687
/skenario1-1-1-10/traffic20,13.580668
/skenario1-1-1-10/traffic22,14.326861
/skenario1-1-1-10/traffic23,15.504055
/skenario1-1-1-10/traffic66,14.674872
/skenario1-1-1-10/traffic92,16.802755
/skenario1-1-1-10/traffic78,16.473821
/skenario1-1-1-10/traffic78,15.885416
/skenario1-1-1-10/traffic37,17.504270
/skenario1-1-1-10/traffic13,15.205914
/skenario1-1-1-10/traffic3,6.605100
/skenario1-1-1-10/traffic1,12.042835
/skenario1-1-1-10/traffic1,0.917424
/skenario1-1-1-10/traffic2,6.935655
/skenario1-1-1-10/traffic1,4.080976
/skenario1-1-1-10/traffic25,8.884572
/skenario1-1-1-10/traffic25,6.764814
/skenario1-1-1-10/traffic37,8.741164
/skenario1-1-1-10/traffic58,19.855943
/skenario1-1-1-10/traffic20,8.657523
/skenario1-1-1-10/traffic3,12.494902
/skenario1-1-1-10/traffic97,12.187430
/skenario1-1-1-10/traffic46,15.653754
/skenario1-1-1-10/traffic29,14.662122
/skenario1-1-1-10/traffic31,7.721091
/skenario1-1-1-10/traffic92,4.587636
/skenario1-1-1-10/traffic3,3.873032
/skenario1-1-1-10/traffic3,0.551195
/skenario1-1-1-10/traffic23,3.831805
/skenario1-1-1-10/traffic77,17.757265
/skenario1-1-1-10/traffic64,10.697264
/skenario1-1-1-10/traffic1,7.855600
/skenario1-1-1-10/traffic1,6.048559
/skenario1-1-1-10/traffic6,7.227922
/skenario1-1-1-10/traffic89,7.823914
/skenario1-1-1-10/traffic26,17.214087
/skenario1-1-1-10/traffic26,16.246776
/skenario1-1-1-10/traffic20,6.641885
/skenario1-1-1-10/traffic29,4.282164
/skenario1-1-1-10/traffic22,10.710507
/skenario1-1-1-10/traffic95,27.377002
/skenario1-1-1-10/traffic30,34.719292
/skenario1-1-1-10/traffic30,29.944542
/skenario1-1-1-10/traffic7,34.433991
/skenario1-1-1-10/traffic7,31.881377
/skenario1-1-1-10/traffic7,14.970764
/skenario1-1-1-10/traffic36,34.371645
/skenario1-1-1-10/traffic62,33.297647
/skenario1-1-1-10/traffic8,32.394225
/skenario1-1-1-10/traffic10,33.560058
/skenario1-1-1-10/traffic43,33.890211
/skenario1-1-1-10/traffic16,34.455478
/skenario1-1-1-10/traffic11,35.293834
/skenario1-1-1-10/traffic41,35.292597
/skenario1-1-1-10/traffic76,34.973460
/skenario1-1-1-10/traffic28,34.808389
/skenario1-1-1-10/traffic31,26.281835
/skenario1-1-1-10/traffic60,25.824373
/skenario1-1-1-10/traffic15,16.997968
/skenario1-1-1-10/traffic55,17.982177
/skenario1-1-1-10/traffic65,14.777694
/skenario1-1-1-10/traffic26,9.391317
/skenario1-1-1-10/traffic7,9.535902
/skenario1-1-1-10/traffic12,23.665044
/skenario1-1-1-10/traffic21,20.679857
/skenario1-1-1-10/traffic9,17.884534
/skenario1-1-1-10/traffic9,15.593119
/skenario1-1-1-10/traffic85,18.300078
