epoch,value
1708314841.268,1919610880.000000
1708314842.268,1918320640.000000
1708314843.268,1917214720.000000
1708314844.268,1917231104.000000
1708314845.268,1917231104.000000
1708314846.268,1917231104.000000
1708314847.268,1917165568.000000
1708314848.268,1917165568.000000
1708314849.268,1917165568.000000
1708314850.268,1916907520.000000
1708314851.268,1916874752.000000
1708314852.268,1916874752.000000
1708314853.268,1916874752.000000
1708314854.268,1916874752.000000
1708314855.268,1916841984.000000
1708314856.268,1916841984.000000
1708314857.268,1916809216.000000
1708314858.268,1916809216.000000
1708314859.268,1916809216.000000
1708314860.268,1916776448.000000
1708314861.268,1916776448.000000
1708314862.268,1916776448.000000
1708314863.268,1916776448.000000
1708314864.268,1917120512.000000
1708314865.268,1916665856.000000
1708314866.268,1916612608.000000
1708314867.268,1916600320.000000
1708314868.268,1916600320.000000
1708314869.268,1916600320.000000
1708314870.268,1916067840.000000
1708314871.268,1916542976.000000
1708314872.268,1916542976.000000
1708314873.268,1916542976.000000
1708314874.268,1916542976.000000
1708314875.268,1916510208.000000
1708314876.268,1916510208.000000
1708314877.268,1916510208.000000
1708314878.268,1916510208.000000
1708314879.268,1916510208.000000
1708314880.268,1916510208.000000
1708314881.268,1916510208.000000
1708314882.268,1916477440.000000
1708314883.268,1916477440.000000
1708314884.268,1916477440.000000
1708314885.268,1916477440.000000
1708314886.268,1916477440.000000
1708314887.268,1916477440.000000
1708314888.268,1915953152.000000
1708314889.268,1915723776.000000
1708314890.268,1915691008.000000
1708314891.268,1915817984.000000
1708314892.268,1916047360.000000
1708314893.268,1915916288.000000
1708314894.268,1915883520.000000
1708314895.268,1916014592.000000
1708314896.268,1915981824.000000
1708314897.268,1915916288.000000
1708314898.268,1915625472.000000
1708314899.268,1915658240.000000
1708314900.268,1915916288.000000
1708314901.268,1915916288.000000
1708314902.268,1915658240.000000
1708314903.268,1915592704.000000
1708314904.268,1915592704.000000
1708314905.268,1915592704.000000
1708314906.268,1915592704.000000
1708314907.268,1915592704.000000
1708314908.268,1915592704.000000
1708314909.268,1915592704.000000
1708314910.268,1915592704.000000
1708314911.268,1915592704.000000
1708314912.268,1915592704.000000
1708314913.268,1915592704.000000
1708314914.268,1915592704.000000
1708314915.268,1915592704.000000
1708314916.268,1915592704.000000
1708314917.268,1915592704.000000
1708314918.268,1915592704.000000
1708314919.268,1915600896.000000
1708314920.268,1915600896.000000
1708314921.268,1915600896.000000
1708314922.268,1915600896.000000
1708314923.268,1915600896.000000
1708314924.268,1915600896.000000
1708314925.268,1915600896.000000
1708314926.268,1915600896.000000
1708314927.268,1915600896.000000
1708314928.268,1915600896.000000
1708314929.268,1915600896.000000
1708314930.268,1915600896.000000
1708314931.268,1915600896.000000
1708314932.268,1915600896.000000
1708314933.268,1915600896.000000
1708314934.268,1915600896.000000
1708314935.268,1915600896.000000
1708314936.268,1915600896.000000
