PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,175770.385283,17.577039,
1,517,517,0,0.000000,0.000000,5957.231281,11.522691
2,412,412,0,0.000000,0.000000,5982.421300,14.520440
3,368,368,0,0.000000,0.000000,5075.943631,13.793325
4,312,312,0,0.000000,0.000000,4450.196443,14.263450
5,320,320,0,0.000000,0.000000,4208.880522,13.152752
6,270,270,0,0.000000,0.000000,3860.662160,14.298749
7,262,262,0,0.000000,0.000000,4053.423492,15.471082
8,216,216,0,0.000000,0.000000,3432.486149,15.891140
9,225,225,0,0.000000,0.000000,3568.411586,15.859607
10,204,204,0,0.000000,0.000000,3182.992016,15.602902
11,192,192,0,0.000000,0.000000,3153.712393,16.425585
12,190,190,0,0.000000,0.000000,3029.956940,15.947142
13,171,171,0,0.000000,0.000000,3036.885096,17.759562
14,157,157,0,0.000000,0.000000,2494.890682,15.891023
15,157,157,0,0.000000,0.000000,2733.983510,17.413908
16,163,163,0,0.000000,0.000000,2762.389559,16.947175
17,154,154,0,0.000000,0.000000,2449.354771,15.904901
18,142,142,0,0.000000,0.000000,2872.683659,20.230167
19,158,158,0,0.000000,0.000000,2518.700884,15.941145
20,149,149,0,0.000000,0.000000,2259.456708,15.164139
21,127,127,0,0.000000,0.000000,2345.482811,18.468369
22,123,123,0,0.000000,0.000000,2089.005652,16.983786
23,134,134,0,0.000000,0.000000,2361.224875,17.621081
24,113,113,0,0.000000,0.000000,2009.949224,17.787161
25,108,108,0,0.000000,0.000000,1924.502167,17.819465
26,97,97,0,0.000000,0.000000,1781.546311,18.366457
27,110,110,0,0.000000,0.000000,1922.125070,17.473864
28,103,103,0,0.000000,0.000000,1824.751435,17.716033
29,102,102,0,0.000000,0.000000,1950.027888,19.117920
30,95,95,0,0.000000,0.000000,1733.276498,18.245016
31,86,86,0,0.000000,0.000000,1656.820029,19.265349
32,96,96,0,0.000000,0.000000,1867.251440,19.450536
33,95,95,0,0.000000,0.000000,1711.814018,18.019095
34,81,81,0,0.000000,0.000000,1656.748235,20.453682
35,80,80,0,0.000000,0.000000,1433.464156,17.918302
36,90,90,0,0.000000,0.000000,1639.624755,18.218053
37,95,95,0,0.000000,0.000000,1772.885015,18.661948
38,85,85,0,0.000000,0.000000,1634.693720,19.231691
39,88,88,0,0.000000,0.000000,1664.758435,18.917709
40,81,81,0,0.000000,0.000000,1527.407716,18.856885
41,71,71,0,0.000000,0.000000,1542.620354,21.727047
42,80,80,0,0.000000,0.000000,1606.587016,20.082338
43,89,89,0,0.000000,0.000000,1727.842159,19.413957
44,72,72,0,0.000000,0.000000,1503.170676,20.877371
45,72,72,0,0.000000,0.000000,1424.484574,19.784508
46,61,61,0,0.000000,0.000000,1509.460015,24.745246
47,69,69,0,0.000000,0.000000,1390.674620,20.154705
48,82,82,0,0.000000,0.000000,1711.520914,20.872206
49,76,76,0,0.000000,0.000000,1638.432658,21.558324
50,86,86,0,0.000000,0.000000,1652.608543,19.216378
51,66,66,0,0.000000,0.000000,1363.875202,20.664776
52,55,55,0,0.000000,0.000000,1171.486199,21.299749
53,68,68,0,0.000000,0.000000,1473.680692,21.671775
54,61,61,0,0.000000,0.000000,1299.456695,21.302569
55,57,57,0,0.000000,0.000000,1103.271328,19.355637
56,73,73,0,0.000000,0.000000,1372.656235,18.803510
57,68,68,0,0.000000,0.000000,1506.467034,22.153927
58,58,58,0,0.000000,0.000000,1183.258248,20.401004
59,59,59,0,0.000000,0.000000,1060.886438,17.981126
60,68,68,0,0.000000,0.000000,1338.119653,19.678230
61,56,56,0,0.000000,0.000000,1226.802305,21.907184
62,72,72,0,0.000000,0.000000,1463.713941,20.329360
63,76,76,0,0.000000,0.000000,1420.219194,18.687095
64,46,46,0,0.000000,0.000000,867.509399,18.858900
65,64,64,0,0.000000,0.000000,1443.262041,22.550969
66,47,47,0,0.000000,0.000000,1016.748790,21.632953
67,57,57,0,0.000000,0.000000,1068.182680,18.740047
68,54,54,0,0.000000,0.000000,1135.716752,21.031792
69,51,51,0,0.000000,0.000000,1064.199422,20.866655
70,63,63,0,0.000000,0.000000,1300.470256,20.642385
71,51,51,0,0.000000,0.000000,1065.845755,20.898936
72,50,50,0,0.000000,0.000000,1034.974215,20.699484
73,48,48,0,0.000000,0.000000,1032.071285,21.501485
74,52,52,0,0.000000,0.000000,1125.807658,21.650147
75,60,60,0,0.000000,0.000000,1311.971531,21.866192
76,44,44,0,0.000000,0.000000,801.187924,18.208816
77,48,48,0,0.000000,0.000000,989.813324,20.621111
78,34,34,0,0.000000,0.000000,656.217345,19.300510
79,38,38,0,0.000000,0.000000,854.256567,22.480436
80,51,51,0,0.000000,0.000000,1019.174590,19.983815
81,36,36,0,0.000000,0.000000,645.915929,17.942109
82,42,42,0,0.000000,0.000000,983.379294,23.413793
83,38,38,0,0.000000,0.000000,832.129218,21.898137
84,41,41,0,0.000000,0.000000,919.916756,22.436994
85,31,31,0,0.000000,0.000000,676.620258,21.826460
86,46,46,0,0.000000,0.000000,997.614755,21.687277
87,42,42,0,0.000000,0.000000,845.482863,20.130544
88,44,44,0,0.000000,0.000000,1000.859525,22.746807
89,39,39,0,0.000000,0.000000,871.823741,22.354455
90,41,41,0,0.000000,0.000000,964.283394,23.519107
91,53,53,0,0.000000,0.000000,1048.561986,19.784188
92,38,38,0,0.000000,0.000000,753.990601,19.841858
93,49,49,0,0.000000,0.000000,951.714096,19.422737
94,35,35,0,0.000000,0.000000,714.140956,20.404027
95,27,27,0,0.000000,0.000000,613.064070,22.706077
96,60,60,0,0.000000,0.000000,1327.273078,22.121218
97,48,48,0,0.000000,0.000000,1058.441662,22.050868
98,41,41,0,0.000000,0.000000,976.206236,23.809908
99,30,30,0,0.000000,0.000000,669.671230,22.322374
100,38,38,0,0.000000,0.000000,848.569176,22.330768
