epoch,value
1708313609.050,25284608.000000
1708313610.050,25333760.000000
1708313611.050,25358336.000000
1708313612.050,25358336.000000
1708313613.050,25358336.000000
1708313614.050,25358336.000000
1708313615.050,25358336.000000
1708313616.050,25358336.000000
1708313617.050,25358336.000000
1708313618.050,25358336.000000
1708313619.050,25358336.000000
1708313620.050,25358336.000000
1708313621.050,25358336.000000
1708313622.050,25358336.000000
1708313623.050,25362432.000000
1708313624.050,25366528.000000
1708313625.050,25366528.000000
1708313626.050,25366528.000000
1708313627.050,25366528.000000
1708313628.050,25366528.000000
1708313629.050,25366528.000000
1708313630.050,25366528.000000
1708313631.050,25366528.000000
1708313632.050,25366528.000000
1708313633.050,25366528.000000
1708313634.050,25366528.000000
1708313635.050,25366528.000000
1708313636.050,25366528.000000
1708313637.050,25366528.000000
1708313638.050,25366528.000000
1708313639.050,25366528.000000
1708313640.050,25366528.000000
1708313641.050,25366528.000000
1708313642.050,25366528.000000
1708313643.050,25366528.000000
1708313644.050,25366528.000000
1708313645.050,25366528.000000
1708313646.050,25366528.000000
1708313647.050,25366528.000000
1708313648.050,25366528.000000
1708313649.050,25366528.000000
1708313650.050,25366528.000000
1708313651.050,25366528.000000
1708313652.050,25366528.000000
1708313653.050,25366528.000000
1708313654.050,25382912.000000
1708313655.050,25382912.000000
1708313656.050,25387008.000000
1708313657.050,25387008.000000
1708313658.050,25387008.000000
1708313659.050,25387008.000000
1708313660.050,25423872.000000
1708313661.050,25423872.000000
1708313662.050,25423872.000000
1708313663.050,25423872.000000
1708313664.050,25423872.000000
1708313665.050,25423872.000000
1708313666.050,25423872.000000
1708313667.050,25423872.000000
1708313668.050,25423872.000000
1708313669.050,25423872.000000
1708313670.050,25423872.000000
1708313671.050,25423872.000000
1708313672.050,25423872.000000
1708313673.050,25423872.000000
1708313674.050,25423872.000000
1708313675.050,25423872.000000
1708313676.050,25423872.000000
1708313677.050,25423872.000000
1708313678.050,25423872.000000
1708313679.050,25423872.000000
1708313680.050,25423872.000000
1708313681.050,25423872.000000
1708313682.050,25423872.000000
1708313683.050,25423872.000000
1708313684.050,25423872.000000
1708313685.050,25423872.000000
1708313686.050,25423872.000000
1708313687.050,25423872.000000
1708313688.050,25423872.000000
1708313689.050,25423872.000000
1708313690.050,25423872.000000
1708313691.050,25423872.000000
1708313692.050,25423872.000000
1708313693.050,25423872.000000
1708313694.050,25423872.000000
1708313695.050,25423872.000000
1708313696.050,25423872.000000
