epoch,value
1708315569.043,3.030303
1708315570.043,2.020202
1708315571.043,0.000000
1708315572.043,0.990099
1708315573.042,0.000000
1708315574.043,0.000000
1708315575.042,0.000000
1708315576.043,0.000000
1708315577.043,3.000000
1708315578.042,0.990099
1708315579.042,0.000000
1708315580.042,1.000000
1708315581.042,0.000000
1708315582.042,0.000000
1708315583.042,0.000000
1708315584.043,3.960396
1708315585.042,0.000000
1708315586.042,0.000000
1708315587.042,2.020202
1708315588.042,1.000000
1708315589.042,0.000000
1708315590.042,0.000000
1708315591.043,0.000000
1708315592.043,1.000000
1708315593.043,0.000000
1708315594.042,0.990099
1708315595.043,0.000000
1708315596.042,0.000000
1708315597.042,0.000000
1708315598.043,0.000000
1708315599.042,1.000000
1708315600.043,0.000000
1708315601.042,0.000000
1708315602.042,1.000000
1708315603.042,0.000000
1708315604.043,0.990099
1708315605.042,1.000000
1708315606.043,0.000000
1708315607.042,0.000000
1708315608.043,0.000000
1708315609.042,0.000000
1708315610.042,1.000000
1708315611.042,0.000000
1708315612.042,0.000000
1708315613.042,0.000000
1708315614.042,0.980392
1708315615.043,0.000000
1708315616.043,1.000000
1708315617.042,0.000000
1708315618.043,0.000000
1708315619.042,0.990099
1708315620.043,0.000000
1708315621.042,1.000000
1708315622.042,0.000000
1708315623.042,1.000000
1708315624.043,0.000000
1708315625.042,0.000000
1708315626.043,0.000000
1708315627.042,0.000000
1708315628.042,0.990099
1708315629.043,0.000000
1708315630.043,0.000000
1708315631.042,0.000000
1708315632.043,1.000000
1708315633.043,0.000000
1708315634.042,0.990099
1708315635.042,0.000000
1708315636.042,0.000000
1708315637.042,0.000000
1708315638.042,0.990099
1708315639.043,0.000000
1708315640.043,0.000000
1708315641.043,0.990099
1708315642.043,0.000000
1708315643.043,0.000000
1708315644.042,0.000000
1708315645.042,0.990099
1708315646.043,0.000000
1708315647.042,0.990099
1708315648.043,0.000000
1708315649.042,0.000000
1708315650.042,0.000000
1708315651.043,0.000000
1708315652.042,0.000000
1708315653.042,0.990099
1708315654.042,0.000000
1708315655.042,1.000000
1708315656.042,0.000000
1708315657.043,0.000000
1708315658.042,1.000000
1708315659.042,0.000000
1708315660.042,1.000000
1708315661.043,0.000000
1708315662.043,0.990099
1708315663.042,0.000000
1708315664.042,1.000000
1708315665.042,0.000000
1708315666.042,0.000000
1708315667.043,1.000000
1708315668.043,0.000000
1708315669.042,1.000000
1708315670.043,0.000000
1708315671.043,0.000000
1708315672.042,1.000000
1708315673.042,0.000000
1708315674.042,0.000000
1708315675.042,1.000000
1708315676.042,0.000000
1708315677.042,1.000000
1708315678.043,0.000000
1708315679.042,0.000000
1708315680.042,0.000000
1708315681.043,0.000000
1708315682.043,1.000000
1708315683.042,0.000000
1708315684.042,1.000000
1708315685.042,0.000000
1708315686.042,0.980392
1708315687.042,1.000000
1708315688.042,0.000000
1708315689.042,0.000000
1708315690.043,1.000000
1708315691.043,0.000000
1708315692.043,0.990099
1708315693.042,0.000000
1708315694.043,0.990099
