epoch,shortterm,midterm,longterm
1708324098.051,0.437988,0.135254,0.046387
1708324099.051,0.437988,0.135254,0.046387
1708324100.052,0.402832,0.132812,0.045898
1708324101.052,0.402832,0.132812,0.045898
1708324102.052,0.402832,0.132812,0.045898
1708324103.051,0.402832,0.132812,0.045898
1708324104.052,0.402832,0.132812,0.045898
1708324105.052,0.370117,0.130371,0.045410
1708324106.052,0.370117,0.130371,0.045410
1708324107.057,0.370117,0.130371,0.045410
1708324108.051,0.370117,0.130371,0.045410
1708324109.052,0.370117,0.130371,0.045410
1708324110.052,0.340332,0.127930,0.044922
1708324111.051,0.340332,0.127930,0.044922
1708324112.052,0.340332,0.127930,0.044922
1708324113.051,0.340332,0.127930,0.044922
1708324114.051,0.340332,0.127930,0.044922
1708324115.052,0.312988,0.125488,0.044434
1708324116.051,0.312988,0.125488,0.044434
1708324117.052,0.312988,0.125488,0.044434
1708324118.052,0.312988,0.125488,0.044434
1708324119.051,0.312988,0.125488,0.044434
1708324120.054,0.287598,0.123047,0.043945
1708324121.051,0.287598,0.123047,0.043945
1708324122.052,0.287598,0.123047,0.043945
1708324123.052,0.287598,0.123047,0.043945
1708324124.052,0.287598,0.123047,0.043945
1708324125.052,0.264160,0.120605,0.043457
1708324126.051,0.264160,0.120605,0.043457
1708324127.052,0.264160,0.120605,0.043457
1708324128.051,0.264160,0.120605,0.043457
1708324129.052,0.264160,0.120605,0.043457
1708324130.053,0.242676,0.118164,0.042969
1708324131.052,0.242676,0.118164,0.042969
1708324132.051,0.242676,0.118164,0.042969
1708324133.052,0.242676,0.118164,0.042969
1708324134.052,0.242676,0.118164,0.042969
1708324135.053,0.223145,0.115723,0.042480
1708324136.052,0.223145,0.115723,0.042480
1708324137.051,0.223145,0.115723,0.042480
1708324138.053,0.223145,0.115723,0.042480
1708324139.051,0.223145,0.115723,0.042480
1708324140.052,0.205078,0.113770,0.041992
1708324141.052,0.205078,0.113770,0.041992
1708324142.053,0.205078,0.113770,0.041992
1708324143.051,0.205078,0.113770,0.041992
1708324144.052,0.205078,0.113770,0.041992
1708324145.052,0.188477,0.111816,0.041504
1708324146.051,0.188477,0.111816,0.041504
1708324147.052,0.188477,0.111816,0.041504
1708324148.051,0.188477,0.111816,0.041504
1708324149.052,0.188477,0.111816,0.041504
1708324150.054,0.173340,0.109863,0.041016
1708324151.053,0.173340,0.109863,0.041016
1708324152.052,0.173340,0.109863,0.041016
1708324153.052,0.173340,0.109863,0.041016
1708324154.051,0.173340,0.109863,0.041016
1708324155.052,0.159180,0.107910,0.040527
1708324156.051,0.159180,0.107910,0.040527
1708324157.051,0.159180,0.107910,0.040527
1708324158.053,0.159180,0.107910,0.040527
1708324159.051,0.159180,0.107910,0.040527
1708324160.051,0.145996,0.105957,0.040039
1708324161.052,0.145996,0.105957,0.040039
