interest,rtt(ms)
/scenario1-3-3/traffic41,31.656421
/scenario1-3-3/traffic48,30.116498
/scenario1-3-3/traffic57,30.401243
/scenario1-3-3/traffic57,9.986366
/scenario1-3-3/traffic24,26.974053
/scenario1-3-3/traffic12,20.156837
/scenario1-3-3/traffic46,14.200789
/scenario1-3-3/traffic93,10.640583
/scenario1-3-3/traffic11,15.614423
/scenario1-3-3/traffic1,11.589706
/scenario1-3-3/traffic18,9.882940
/scenario1-3-3/traffic55,8.712530
/scenario1-3-3/traffic36,8.686534
/scenario1-3-3/traffic78,8.957881
/scenario1-3-3/traffic22,9.718133
/scenario1-3-3/traffic11,4.800268
/scenario1-3-3/traffic36,7.060679
/scenario1-3-3/traffic65,10.800388
/scenario1-3-3/traffic27,7.962913
/scenario1-3-3/traffic1,4.195811
/scenario1-3-3/traffic8,9.651250
/scenario1-3-3/traffic9,16.785854
/scenario1-3-3/traffic50,11.935720
/scenario1-3-3/traffic14,19.503457
/scenario1-3-3/traffic5,14.815535
/scenario1-3-3/traffic33,14.228773
/scenario1-3-3/traffic84,8.570587
/scenario1-3-3/traffic27,6.176503
/scenario1-3-3/traffic27,0.730175
/scenario1-3-3/traffic92,13.184374
/scenario1-3-3/traffic11,6.020380
/scenario1-3-3/traffic8,7.605431
/scenario1-3-3/traffic13,9.654497
/scenario1-3-3/traffic68,10.072254
/scenario1-3-3/traffic18,4.993717
/scenario1-3-3/traffic70,13.675643
/scenario1-3-3/traffic40,9.477327
/scenario1-3-3/traffic46,4.535096
/scenario1-3-3/traffic2,9.819613
/scenario1-3-3/traffic5,10.172394
/scenario1-3-3/traffic41,5.433715
/scenario1-3-3/traffic7,9.779762
/scenario1-3-3/traffic76,12.490090
/scenario1-3-3/traffic56,8.646828
/scenario1-3-3/traffic37,10.881372
/scenario1-3-3/traffic17,12.457243
/scenario1-3-3/traffic2,10.300492
/scenario1-3-3/traffic3,9.037398
/scenario1-3-3/traffic3,0.796506
/scenario1-3-3/traffic96,9.476248
/scenario1-3-3/traffic69,9.891332
/scenario1-3-3/traffic1,5.331180
/scenario1-3-3/traffic14,5.949979
/scenario1-3-3/traffic11,5.091459
/scenario1-3-3/traffic2,5.436967
/scenario1-3-3/traffic31,12.245989
/scenario1-3-3/traffic57,8.377643
/scenario1-3-3/traffic6,10.657367
/scenario1-3-3/traffic83,10.789460
/scenario1-3-3/traffic2,5.597830
/scenario1-3-3/traffic84,5.604391
/scenario1-3-3/traffic21,11.352231
/scenario1-3-3/traffic45,15.991960
/scenario1-3-3/traffic71,19.379890
/scenario1-3-3/traffic51,13.851277
/scenario1-3-3/traffic49,11.841747
/scenario1-3-3/traffic47,12.249515
/scenario1-3-3/traffic71,6.236572
/scenario1-3-3/traffic4,10.801712
/scenario1-3-3/traffic12,4.912254
/scenario1-3-3/traffic74,8.639187
/scenario1-3-3/traffic14,4.396266
/scenario1-3-3/traffic18,6.764742
/scenario1-3-3/traffic2,8.064458
/scenario1-3-3/traffic45,6.149653
/scenario1-3-3/traffic71,6.308795
/scenario1-3-3/traffic64,10.982071
/scenario1-3-3/traffic11,5.228078
/scenario1-3-3/traffic44,9.212237
/scenario1-3-3/traffic14,4.786558
/scenario1-3-3/traffic60,8.661800
/scenario1-3-3/traffic1,5.433382
/scenario1-3-3/traffic41,8.968480
/scenario1-3-3/traffic87,13.611065
/scenario1-3-3/traffic46,4.643275
/scenario1-3-3/traffic19,9.197976
/scenario1-3-3/traffic69,4.548450
/scenario1-3-3/traffic1,4.533979
/scenario1-3-3/traffic3,6.824095
/scenario1-3-3/traffic15,12.123194
/scenario1-3-3/traffic27,5.742331
/scenario1-3-3/traffic31,8.281282
/scenario1-3-3/traffic27,4.451161
/scenario1-3-3/traffic9,6.220908
/scenario1-3-3/traffic21,6.800893
/scenario1-3-3/traffic10,15.087393
/scenario1-3-3/traffic10,7.599784
/scenario1-3-3/traffic74,5.887636
/scenario1-3-3/traffic46,5.407824
