Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:11:53 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:54 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:55 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:56 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:57 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:58 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:11:59 2023,0.250000,430469120,4416989193780068353
Mon Nov 27 02:12:00 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:01 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:02 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:03 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:04 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:05 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:06 2023,0.997506,430469120,4416989193780068353
Mon Nov 27 02:12:07 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:08 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:09 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:10 2023,0.000000,430469120,4416989193780068353
Mon Nov 27 02:12:11 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:12 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:13 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:14 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:15 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:16 2023,0.250000,430501888,4416989193780068353
Mon Nov 27 02:12:17 2023,0.251256,430501888,4416989193780068353
Mon Nov 27 02:12:18 2023,0.500000,430469120,4416989193780068353
Mon Nov 27 02:12:19 2023,0.250000,430501888,4416989193780068353
Mon Nov 27 02:12:20 2023,0.000000,430501888,4416989193780068353
Mon Nov 27 02:12:21 2023,0.498753,428453888,4416989193780068353
Mon Nov 27 02:12:22 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:23 2023,0.250000,428449792,4416989193780068353
Mon Nov 27 02:12:24 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:25 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:26 2023,0.251256,428449792,4416989193780068353
Mon Nov 27 02:12:27 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:28 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:29 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:30 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:31 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:32 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:33 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:34 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:35 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:36 2023,0.249377,428449792,4416989193780068353
Mon Nov 27 02:12:37 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:38 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:39 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:40 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:41 2023,0.497512,428449792,4416989193780068353
Mon Nov 27 02:12:42 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:43 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:44 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:45 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:46 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:47 2023,0.250000,428449792,4416989193780068353
Mon Nov 27 02:12:48 2023,0.750000,428449792,4416989193780068353
Mon Nov 27 02:12:49 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:50 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:51 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:52 2023,0.249377,428449792,4416989193780068353
Mon Nov 27 02:12:53 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:54 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:55 2023,0.000000,428449792,4416989193780068353
Mon Nov 27 02:12:56 2023,0.250000,428449792,4416989193780068353
Mon Nov 27 02:12:57 2023,0.000000,428449792,4416989193780068353
